Time(ms),X,Y,Area
132200,, ,Model
132215,, ,Model
132226,, ,Model
132237,, ,Model
132250,, ,Model
132264,, ,Model
132274,, ,Model
132285,, ,Model
132298,, ,Model
132309,, ,Model
132320,, ,Model
132331,, ,Model
132342,, ,Model
132352,, ,Model
132364,, ,Model
132375,, ,Model
132386,, ,Model
132397,, ,Model
132408,, ,Model
132418,, ,Model
132431,, ,Model
132442,, ,Model
132453,, ,Model
132465,, ,Model
132477,, ,Model
132488,, ,Model
132499,, ,Model
132509,, ,Model
132520,, ,Model
132531,, ,Model
132541,, ,Model
132552,, ,Model
132564,, ,Model
132575,, ,Model
132585,, ,Model
132599,, ,Model
132609,, ,Model
132621,, ,Model
132632,, ,Model
132643,, ,Model
132654,, ,Model
132665,, ,Model
132675,, ,Model
132686,, ,Model
132698,, ,Model
132709,, ,Model
132720,, ,Model
132731,, ,Model
132741,, ,Model
132752,, ,Model
132766,, ,Model
132776,, ,Model
132788,, ,Model
132799,, ,Model
132810,, ,Model
132820,, ,Model
132832,, ,Model
132842,, ,Model
132853,, ,Model
132865,, ,Model
132876,, ,Model
132887,, ,Model
132899,, ,Model
132910,, ,Model
132920,, ,Model
132931,, ,Model
132942,, ,Model
132952,, ,Model
132965,, ,Model
132975,, ,Model
132985,, ,Model
132998,, ,Model
133009,, ,Model
133019,, ,Model
133031,, ,Model
133042,, ,Model
133052,, ,Model
133065,, ,Model
133075,, ,Model
133086,, ,Model
133099,, ,Model
133109,, ,Model
133120,, ,Model
133131,, ,Model
133142,727.21,712.95,Area 1
133154,727.21,712.95,Area 1
133165,727.21,712.95,Area 1
133175,719.75,711.62,Area 1
133185,719.75,711.62,Area 1
133197,719.75,711.62,Area 1
133208,714.47,713.05,Area 1
133218,714.47,713.05,Area 1
133231,714.47,713.05,Area 1
133242,718.51,713.49,Area 1
133254,718.51,713.49,Area 1
133265,717.79,716.26,Area 1
133277,717.79,716.26,Area 1
133288,717.79,716.26,Area 1
133299,713.05,724.23,Area 1
133314,713.05,724.23,Area 1
133325,703.68,730.58,Area 1
133336,703.68,730.58,Area 1
133348,703.68,730.58,Area 1
133358,695.37,734.24,Area 1
133370,695.37,734.24,Area 1
133381,695.37,734.24,Area 1
133392,700.35,738.71,Area 1
133403,700.35,738.71,Area 1
133414,702.83,746.93,Area 1
133425,702.83,746.93,Area 1
133436,702.83,746.93,Area 1
133447,701.09,747.78,Area 1
133457,701.09,747.78,Area 1
133467,701.09,747.78,Area 1
133481,702.43,746.63,Area 1
133492,702.43,746.63,Area 1
133502,702.43,746.63,Area 1
133515,698.26,752.67,Area 1
133526,698.26,752.67,Area 1
133537,697.21,757.55,Area 1
133548,697.21,757.55,Area 1
133559,697.21,757.55,Area 1
133570,701.27,760.50,Area 1
133581,701.27,760.50,Area 1
133592,701.27,760.50,Area 1
133602,701.27,763.82,Area 1
133614,701.27,763.82,Area 1
133625,701.27,763.82,Area 1
133637,640.79,810.84,Area 1
133648,640.79,810.84,Area 1
133659,598.24,867.13,Area 1
133670,598.24,867.13,Area 1
133681,598.24,867.13,Area 1
133691,612.42,879.52,Area 1
133701,612.42,879.52,Area 1
133714,612.42,879.52,Area 1
133725,610.80,884.80,Area 1
133736,610.80,884.80,Area 1
133748,610.80,884.80,Area 1
133758,610.08,883.99,Area 1
133769,610.08,883.99,Area 1
133781,608.45,879.46,Area 1
133792,608.45,879.46,Area 1
133803,608.45,879.46,Area 1
133815,609.57,875.19,Area 1
133826,609.57,875.19,Area 1
133836,609.57,875.19,Area 1
133848,609.83,865.93,Area 1
133859,609.83,865.93,Area 1
133870,612.43,859.75,Area 1
133881,612.43,859.75,Area 1
133892,612.43,859.75,Area 1
133903,617.95,858.58,Area 1
133915,617.95,858.58,Area 1
133926,617.95,858.58,Area 1
133937,584.83,857.65,Area 1
133947,584.83,857.65,Area 1
133959,584.83,857.65,Area 1
133970,562.46,854.65,Area 1
133981,562.46,854.65,Area 1
133991,578.20,850.89,Area 1
134003,578.20,850.89,Area 1
134014,578.20,850.89,Area 1
134025,586.58,846.13,Area 1
134036,586.58,846.13,Area 1
134047,586.58,846.13,Area 1
134058,595.53,840.45,Area 1
134069,595.53,840.45,Area 1
134082,604.34,831.08,Area 1
134093,604.34,831.08,Area 1
134103,604.34,831.08,Area 1
134115,610.43,822.82,Area 1
134126,610.43,822.82,Area 1
134137,610.43,822.82,Area 1
134149,612.94,822.53,Area 1
134160,612.94,822.53,Area 1
134170,612.94,822.53,Area 1
134181,614.13,824.89,Area 1
134191,614.13,824.89,Area 1
134201,614.13,824.89,Area 1
134214,614.66,828.84,Area 1
134226,614.66,828.84,Area 1
134236,638.79,826.98,Area 1
134248,638.79,826.98,Area 1
134259,638.79,826.98,Area 1
134271,839.72,830.43,Area 1
134281,839.72,830.43,Area 1
134292,1011.61,831.92,Area 2
134303,1011.61,831.92,Area 2
134315,1011.61,831.92,Area 2
134325,1007.68,825.54,Area 2
134335,1007.68,825.54,Area 2
134347,1007.68,825.54,Area 2
134357,1007.79,825.38,Area 2
134368,1007.79,825.38,Area 2
134381,1007.79,825.38,Area 2
134392,1006.75,824.32,Area 2
134402,1006.75,824.32,Area 2
134415,1005.75,820.10,Area 2
134426,1005.75,820.10,Area 2
134437,1005.75,820.10,Area 2
134448,905.06,813.58,Area 1
134459,905.06,813.58,Area 1
134471,905.06,813.58,Area 1
134482,735.74,821.45,Area 1
134492,735.74,821.45,Area 1
134503,735.74,821.45,Area 1
134514,665.41,832.74,Area 1
134524,665.41,832.74,Area 1
134536,665.14,831.10,Area 1
134548,665.14,831.10,Area 1
134559,665.14,831.10,Area 1
134570,665.75,829.21,Area 1
134581,665.75,829.21,Area 1
134592,665.75,829.21,Area 1
134602,666.38,828.93,Area 1
134614,666.38,828.93,Area 1
134625,665.29,827.32,Area 1
134636,665.29,827.32,Area 1
134648,665.29,827.32,Area 1
134659,662.34,829.82,Area 1
134670,662.34,829.82,Area 1
134681,662.34,829.82,Area 1
134691,663.76,831.32,Area 1
134701,663.76,831.32,Area 1
134714,663.76,831.32,Area 1
134725,665.61,826.18,Area 1
134735,665.61,826.18,Area 1
134748,661.79,824.86,Area 1
134759,661.79,824.86,Area 1
134770,661.79,824.86,Area 1
134782,770.84,797.50,Area 1
134792,770.84,797.50,Area 1
134803,770.84,797.50,Area 1
134815,997.16,786.25,Area 2
134825,997.16,786.25,Area 2
134835,997.16,786.25,Area 2
134849,1114.08,803.05,Area 2
134860,1114.08,803.05,Area 2
134872,1115.19,804.19,Area 2
134882,1115.19,804.19,Area 2
134895,1115.19,804.19,Area 2
134905,1114.13,804.77,Area 2
134915,1114.13,804.77,Area 2
134927,1113.19,806.58,Area 2
134938,1113.19,806.58,Area 2
134949,1113.19,806.58,Area 2
134960,1110.45,809.06,Area 2
134971,1110.45,809.06,Area 2
134981,1110.45,809.06,Area 2
134992,1113.21,808.20,Area 2
135004,1113.21,808.20,Area 2
135016,1113.21,808.20,Area 2
135026,1114.29,803.58,Area 2
135036,1114.29,803.58,Area 2
135048,1110.14,800.86,Area 2
135059,1110.14,800.86,Area 2
135070,1110.14,800.86,Area 2
135083,1108.62,800.26,Area 2
135093,1108.62,800.26,Area 2
135103,1108.62,800.26,Area 2
135116,1109.79,800.16,Area 2
135132,1109.79,800.16,Area 2
135142,1111.51,798.86,Area 2
135153,1111.51,798.86,Area 2
135166,1111.51,798.86,Area 2
135183,1110.75,797.56,Area 2
135193,1110.75,797.56,Area 2
135204,1113.16,802.29,Area 2
135215,1113.16,802.29,Area 2
135227,1113.16,802.29,Area 2
135237,1115.34,802.35,Area 2
135248,1115.34,802.35,Area 2
135260,1115.82,802.30,Area 2
135271,1115.82,802.30,Area 2
135284,1115.82,802.30,Area 2
135298,1088.07,785.96,Area 2
135308,1088.07,785.96,Area 2
135319,1057.63,764.77,Area 2
135332,1057.63,764.77,Area 2
135342,1057.63,764.77,Area 2
135353,1054.11,762.79,Area 2
135364,1054.11,762.79,Area 2
135374,1054.11,762.79,Area 2
135384,1053.60,765.71,Area 2
135398,1053.60,765.71,Area 2
135408,1053.60,765.71,Area 2
135419,1054.22,767.85,Area 2
135431,1054.22,767.85,Area 2
135442,1054.03,768.24,Area 2
135453,1054.03,768.24,Area 2
135464,1054.03,768.24,Area 2
