Time(ms),X,Y,Area
100569,805.00,737.83,Area 1
100579,804.15,740.88,Area 1
100590,804.15,740.88,Area 1
100603,804.15,740.88,Area 1
100614,793.48,743.56,Area 1
100625,793.48,743.56,Area 1
100636,793.48,743.56,Area 1
100647,796.00,744.01,Area 1
100657,796.00,744.01,Area 1
100667,811.85,726.99,Area 1
100678,811.85,726.99,Area 1
100688,811.85,726.99,Area 1
100701,811.83,721.02,Area 1
100712,811.83,721.02,Area 1
100723,811.83,721.02,Area 1
100734,808.79,734.88,Area 1
100746,808.79,734.88,Area 1
100756,808.79,734.88,Area 1
100767,807.32,745.09,Area 1
100779,807.32,745.09,Area 1
100789,801.15,741.89,Area 1
100801,801.15,741.89,Area 1
100812,801.15,741.89,Area 1
100823,801.30,738.44,Area 1
100834,801.30,738.44,Area 1
100845,801.30,738.44,Area 1
100855,787.12,729.87,Area 1
100870,787.12,729.87,Area 1
100880,786.58,727.18,Area 1
100890,786.58,727.18,Area 1
100900,786.58,727.18,Area 1
100911,809.91,735.19,Area 1
100922,809.91,735.19,Area 1
100935,809.91,735.19,Area 1
100945,804.95,724.23,Area 1
100956,804.95,724.23,Area 1
100968,804.95,724.23,Area 1
100978,791.63,718.34,Area 1
100989,791.63,718.34,Area 1
101000,797.47,720.34,Area 1
101011,797.47,720.34,Area 1
101021,797.47,720.34,Area 1
101035,806.41,712.24,Area 1
101046,806.41,712.24,Area 1
101057,806.41,712.24,Area 1
101067,793.59,715.76,Area 1
101078,793.59,715.76,Area 1
101089,793.59,715.76,Area 1
101100,793.87,727.07,Area 1
101111,793.87,727.07,Area 1
101122,791.22,723.56,Area 1
101134,791.22,723.56,Area 1
101145,791.22,723.56,Area 1
101156,788.55,713.17,Area 1
101167,788.55,713.17,Area 1
101178,788.55,713.17,Area 1
101188,803.68,717.21,Area 1
101200,803.68,717.21,Area 1
101211,803.68,717.21,Area 1
101221,808.24,729.76,Area 1
101234,808.24,729.76,Area 1
101244,818.67,750.62,Area 1
101254,818.67,750.62,Area 1
101267,818.67,750.62,Area 1
101278,825.80,766.82,Area 1
101289,825.80,766.82,Area 1
101300,825.80,766.82,Area 1
101311,793.99,746.09,Area 1
101322,793.99,746.09,Area 1
101334,802.03,741.98,Area 1
101346,802.03,741.98,Area 1
101356,802.03,741.98,Area 1
101368,806.63,740.50,Area 1
101379,806.63,740.50,Area 1
101389,806.63,740.50,Area 1
101400,802.58,741.39,Area 1
101411,802.58,741.39,Area 1
101422,802.58,741.39,Area 1
101434,799.14,737.65,Area 1
101445,799.14,737.65,Area 1
101455,811.57,745.08,Area 1
101467,811.57,745.08,Area 1
101478,811.57,745.08,Area 1
101489,813.96,748.02,Area 1
101500,813.96,748.02,Area 1
101511,813.96,748.02,Area 1
101522,807.00,745.86,Area 1
101534,807.00,745.86,Area 1
101544,797.66,737.93,Area 1
101555,797.66,737.93,Area 1
101567,797.66,737.93,Area 1
101578,860.72,717.35,Area 1
101589,860.72,717.35,Area 1
101601,935.54,711.89,Area 1
101612,935.54,711.89,Area 1
101623,935.54,711.89,Area 1
101634,935.54,711.89,Area 1
101646,935.54,711.89,Area 1
101656,935.54,711.89,Area 1
101668,935.54,711.89,Area 1
101679,935.54,711.89,Area 1
101691,935.54,711.89,Area 1
101701,935.54,711.89,Area 1
101711,935.54,711.89,Area 1
101722,935.54,711.89,Area 1
101734,935.54,711.89,Area 1
101745,935.54,711.89,Area 1
101755,935.54,711.89,Area 1
101768,935.54,711.89,Area 1
101779,935.54,711.89,Area 1
101791,935.54,711.89,Area 1
101801,935.54,711.89,Area 1
101811,935.54,711.89,Area 1
101822,935.54,711.89,Area 1
101834,935.54,711.89,Area 1
101844,935.54,711.89,Area 1
101855,935.54,711.89,Area 1
101868,935.54,711.89,Area 1
101878,935.54,711.89,Area 1
101889,935.54,711.89,Area 1
101901,935.54,711.89,Area 1
101912,935.54,711.89,Area 1
101922,935.54,711.89,Area 1
101934,935.54,711.89,Area 1
101944,935.54,711.89,Area 1
101955,935.54,711.89,Area 1
101968,935.54,711.89,Area 1
101979,935.54,711.89,Area 1
101990,935.54,711.89,Area 1
102001,935.54,711.89,Area 1
102012,935.54,711.89,Area 1
102022,935.54,711.89,Area 1
102034,935.54,711.89,Area 1
102045,935.54,711.89,Area 1
102055,935.54,711.89,Area 1
102068,935.54,711.89,Area 1
102079,935.54,711.89,Area 1
102091,935.54,711.89,Area 1
102102,, ,Model
102113,, ,Model
102123,, ,Model
102134,, ,Model
102145,, ,Model
102155,, ,Model
102167,, ,Model
102178,, ,Model
102189,, ,Model
102201,, ,Model
102212,, ,Model
102222,, ,Model
102234,, ,Model
102245,, ,Model
102256,, ,Model
102267,, ,Model
102278,, ,Model
102288,, ,Model
102299,, ,Model
102309,, ,Model
102320,, ,Model
102330,, ,Model
102340,, ,Model
102351,, ,Model
102361,, ,Model
102372,, ,Model
102385,, ,Model
102395,, ,Model
102405,, ,Model
102418,, ,Model
102428,, ,Model
102438,, ,Model
102451,, ,Model
102462,, ,Model
102473,, ,Model
102484,, ,Model
102494,, ,Model
102505,, ,Model
102518,, ,Model
102528,, ,Model
102539,, ,Model
102551,, ,Model
102562,, ,Model
102572,, ,Model
102584,, ,Model
102595,, ,Model
102606,, ,Model
102618,, ,Model
102628,, ,Model
102639,, ,Model
102652,, ,Model
102662,, ,Model
102673,, ,Model
102684,, ,Model
102695,, ,Model
102706,, ,Model
102718,, ,Model
102729,, ,Model
102740,, ,Model
102752,, ,Model
102762,, ,Model
102772,, ,Model
102785,, ,Model
102795,, ,Model
102805,, ,Model
102817,, ,Model
102828,, ,Model
102839,, ,Model
102851,, ,Model
102861,, ,Model
102873,762.51,671.67,Area 1
102884,762.51,671.67,Area 1
102895,762.51,671.67,Area 1
102906,754.95,681.24,Area 1
102917,754.95,681.24,Area 1
102928,754.95,681.24,Area 1
102938,751.84,692.40,Area 1
