Time(ms),X,Y,Area
412816,, ,Model
412830,, ,Model
412840,, ,Model
412851,, ,Model
412863,, ,Model
412873,, ,Model
412884,, ,Model
412896,, ,Model
412906,, ,Model
412916,, ,Model
412930,, ,Model
412941,, ,Model
412951,, ,Model
412963,, ,Model
412973,, ,Model
412984,, ,Model
412996,, ,Model
413007,, ,Model
413017,, ,Model
413030,, ,Model
413040,, ,Model
413050,, ,Model
413062,, ,Model
413074,, ,Model
413084,, ,Model
413096,, ,Model
413106,, ,Model
413118,, ,Model
413130,, ,Model
413140,, ,Model
413151,, ,Model
413163,, ,Model
413174,, ,Model
413184,, ,Model
413196,, ,Model
413207,, ,Model
413217,, ,Model
413230,, ,Model
413240,, ,Model
413251,, ,Model
413263,, ,Model
413274,, ,Model
413284,, ,Model
413296,, ,Model
413307,, ,Model
413317,, ,Model
413330,, ,Model
413340,, ,Model
413350,, ,Model
413363,, ,Model
413373,, ,Model
413383,, ,Model
413397,, ,Model
413407,, ,Model
413417,, ,Model
413430,, ,Model
413440,, ,Model
413451,, ,Model
413463,, ,Model
413473,, ,Model
413484,, ,Model
413497,, ,Model
413507,, ,Model
413517,, ,Model
413530,, ,Model
413540,, ,Model
413552,, ,Model
413562,, ,Model
413574,, ,Model
413584,, ,Model
413596,, ,Model
413607,, ,Model
413618,, ,Model
413630,, ,Model
413640,, ,Model
413652,, ,Model
413663,, ,Model
413674,, ,Model
413685,, ,Model
413697,, ,Model
413707,, ,Model
413718,, ,Model
413730,, ,Model
413740,, ,Model
413750,, ,Model
413764,, ,Model
413774,, ,Model
413784,, ,Model
413797,, ,Model
413808,, ,Model
413819,, ,Model
413830,, ,Model
413840,, ,Model
413851,, ,Model
413863,, ,Model
413874,, ,Model
413885,, ,Model
413896,, ,Model
413907,, ,Model
413918,, ,Model
413930,, ,Model
413940,, ,Model
413951,, ,Model
413964,, ,Model
413975,, ,Model
413986,, ,Model
413997,, ,Model
414007,, ,Model
414018,, ,Model
414029,, ,Model
414040,, ,Model
414051,, ,Model
414063,, ,Model
414073,, ,Model
414085,, ,Model
414097,, ,Model
414107,, ,Model
414117,, ,Model
414130,, ,Model
414141,, ,Model
414151,, ,Model
414165,, ,Model
414180,, ,Model
414190,, ,Model
414200,, ,Model
414213,, ,Model
414223,, ,Model
414233,, ,Model
414247,, ,Model
414257,, ,Model
