Time(ms),X,Y,Area
232562,981.34,706.69,Area 2
232576,981.34,706.69,Area 2
232586,983.19,717.78,Area 2
232596,983.19,717.78,Area 2
232608,984.43,720.57,Area 2
232621,984.43,720.57,Area 2
232632,984.43,720.57,Area 2
232644,984.84,717.48,Area 2
232655,984.84,717.48,Area 2
232665,984.84,717.48,Area 2
232676,986.20,718.74,Area 2
232695,986.20,718.74,Area 2
232709,983.79,716.97,Area 2
232719,983.79,716.97,Area 2
232731,975.43,723.19,Area 2
232743,975.43,723.19,Area 2
232756,975.43,723.19,Area 2
232767,965.37,724.86,Area 1
232777,965.37,724.86,Area 1
232792,970.03,739.18,Area 2
232802,970.03,739.18,Area 2
232812,970.03,739.18,Area 2
232824,982.19,749.39,Area 2
232835,982.19,749.39,Area 2
232845,982.19,749.39,Area 2
232859,975.71,757.34,Area 2
232869,975.71,757.34,Area 2
232881,969.36,758.59,Area 2
232892,969.36,758.59,Area 2
232903,969.36,758.59,Area 2
232914,970.31,747.04,Area 2
232927,970.31,747.04,Area 2
232942,965.54,741.54,Area 1
232952,965.54,741.54,Area 1
232962,965.54,741.54,Area 1
232976,961.50,733.29,Area 1
232987,961.50,733.29,Area 1
232997,961.50,733.29,Area 1
233008,964.00,726.15,Area 1
233018,964.00,726.15,Area 1
233029,964.00,726.15,Area 1
233042,968.92,719.54,Area 2
233053,968.92,719.54,Area 2
233063,965.86,714.39,Area 1
233075,965.86,714.39,Area 1
233085,965.86,714.39,Area 1
233097,962.13,705.91,Area 1
233108,962.13,705.91,Area 1
233119,962.13,705.91,Area 1
233129,964.06,702.28,Area 1
233141,964.06,702.28,Area 1
233152,962.18,703.00,Area 1
233163,962.18,703.00,Area 1
233175,962.18,703.00,Area 1
233186,958.62,698.50,Area 1
233196,958.62,698.50,Area 1
233207,958.62,698.50,Area 1
233219,960.30,696.06,Area 1
233229,960.30,696.06,Area 1
233241,960.30,696.06,Area 1
233252,960.90,693.27,Area 1
233264,960.90,693.27,Area 1
233274,956.19,695.30,Area 1
233286,956.19,695.30,Area 1
233296,956.19,695.30,Area 1
233308,1190.23,876.33,Area 2
233319,1190.23,876.33,Area 2
233329,1190.23,876.33,Area 2
233341,, ,Model
233352,, ,Model
233362,, ,Model
233374,, ,Model
233385,, ,Model
233395,, ,Model
233408,, ,Model
233418,, ,Model
233428,, ,Model
233441,, ,Model
233451,, ,Model
233462,, ,Model
233474,, ,Model
233485,, ,Model
233496,, ,Model
233507,, ,Model
233518,, ,Model
233529,, ,Model
233541,, ,Model
233551,, ,Model
233562,, ,Model
233574,, ,Model
233585,, ,Model
233596,, ,Model
233607,, ,Model
233617,, ,Model
233628,, ,Model
233641,, ,Model
233651,, ,Model
233661,, ,Model
233674,, ,Model
233684,, ,Model
233696,, ,Model
233708,, ,Model
233719,, ,Model
233729,, ,Model
233742,, ,Model
233752,, ,Model
233762,, ,Model
233774,, ,Model
233784,, ,Model
233796,, ,Model
233808,, ,Model
233819,, ,Model
233830,, ,Model
233841,, ,Model
233851,, ,Model
233861,, ,Model
233874,, ,Model
233884,, ,Model
233895,, ,Model
233908,, ,Model
233918,, ,Model
233928,, ,Model
233939,, ,Model
233950,, ,Model
233961,, ,Model
233974,, ,Model
233985,, ,Model
233995,, ,Model
234008,, ,Model
234018,, ,Model
234029,, ,Model
234041,, ,Model
234052,, ,Model
234063,, ,Model
234075,, ,Model
234086,, ,Model
234097,, ,Model
234108,, ,Model
234119,, ,Model
234129,, ,Model
234141,, ,Model
234151,, ,Model
234162,, ,Model
234175,, ,Model
234185,, ,Model
234195,, ,Model
234208,, ,Model
234219,, ,Model
234229,, ,Model
234241,, ,Model
234251,, ,Model
234261,, ,Model
234274,, ,Model
234285,, ,Model
234295,, ,Model
234308,, ,Model
234319,, ,Model
234330,, ,Model
234340,, ,Model
234351,, ,Model
234361,, ,Model
234374,, ,Model
234386,, ,Model
234397,, ,Model
234409,, ,Model
234419,, ,Model
234429,, ,Model
234441,, ,Model
234452,, ,Model
234462,, ,Model
234475,, ,Model
234486,, ,Model
234496,, ,Model
234508,, ,Model
234518,, ,Model
234528,, ,Model
234541,, ,Model
234551,, ,Model
234562,, ,Model
234576,959.96,935.35,Area 1
234586,959.96,935.35,Area 1
234597,959.96,935.35,Area 1
234608,832.33,904.36,Area 1
234618,832.33,904.36,Area 1
234628,832.33,904.36,Area 1
234641,826.19,913.52,Area 1
234652,826.19,913.52,Area 1
234664,827.67,913.91,Area 1
234674,827.67,913.91,Area 1
234684,827.67,913.91,Area 1
234695,828.02,913.78,Area 1
234707,828.02,913.78,Area 1
234717,828.02,913.78,Area 1
234727,813.92,915.37,Area 1
234741,813.92,915.37,Area 1
234752,749.69,918.75,Area 1
234763,749.69,918.75,Area 1
234774,749.69,918.75,Area 1
234785,905.18,950.34,Area 1
234796,905.18,950.34,Area 1
234808,905.18,950.34,Area 1
234819,990.94,959.02,Area 2
234830,990.94,959.02,Area 2
234842,826.90,882.55,Area 1
234853,826.90,882.55,Area 1
234863,826.90,882.55,Area 1
234875,730.28,912.17,Area 1
234886,730.28,912.17,Area 1
234896,730.28,912.17,Area 1
234908,690.41,903.52,Area 1
234918,690.41,903.52,Area 1
234928,690.41,903.52,Area 1
234943,758.53,887.65,Area 1
234958,758.53,887.65,Area 1
234969,796.96,921.15,Area 1
234980,796.96,921.15,Area 1
234992,800.40,918.80,Area 1
235002,800.40,918.80,Area 1
235013,800.40,918.80,Area 1
235024,922.20,808.91,Area 1
235034,922.20,808.91,Area 1
235045,922.20,808.91,Area 1
235058,1050.40,832.22,Area 2
235069,1050.40,832.22,Area 2
235080,1050.40,832.22,Area 2
235091,1053.32,824.65,Area 2
235102,1053.32,824.65,Area 2
235113,1053.68,827.13,Area 2
235125,1053.68,827.13,Area 2
235135,1053.68,827.13,Area 2
235146,1175.49,859.37,Area 2
235157,1175.49,859.37,Area 2
235167,1175.49,859.37,Area 2
235178,1060.02,815.09,Area 2
235191,1060.02,815.09,Area 2
235202,1061.74,811.78,Area 2
235214,1061.74,811.78,Area 2
235224,1061.74,811.78,Area 2
235236,732.62,854.55,Area 1
235246,732.62,854.55,Area 1
235257,732.62,854.55,Area 1
235268,841.32,856.57,Area 1
235279,841.32,856.57,Area 1
235290,841.32,856.57,Area 1
235301,850.54,826.48,Area 1
235311,850.54,826.48,Area 1
235325,861.09,813.36,Area 1
235336,861.09,813.36,Area 1
235347,861.09,813.36,Area 1
235359,969.77,825.18,Area 2
235369,969.77,825.18,Area 2
235380,969.77,825.18,Area 2
235392,888.48,810.56,Area 1
235402,888.48,810.56,Area 1
235413,888.48,810.56,Area 1
235424,879.49,789.27,Area 1
235434,879.49,789.27,Area 1
235445,872.09,766.70,Area 1
235458,872.09,766.70,Area 1
235468,872.09,766.70,Area 1
235478,888.40,736.30,Area 1
235491,888.40,736.30,Area 1
235503,888.40,736.30,Area 1
235513,870.82,722.03,Area 1
235525,870.82,722.03,Area 1
235535,870.82,722.03,Area 1
235546,862.42,697.22,Area 1
235558,862.42,697.22,Area 1
235569,858.89,694.85,Area 1
235580,858.89,694.85,Area 1
235591,858.89,694.85,Area 1
235601,980.55,800.79,Area 2
235612,980.55,800.79,Area 2
235624,980.55,800.79,Area 2
235634,1252.66,988.50,Area 2
235644,1252.66,988.50,Area 2
235658,, ,Model
235669,, ,Model
235679,, ,Model
235691,, ,Model
235701,, ,Model
235712,, ,Model
235726,, ,Model
235736,, ,Model
235746,, ,Model
235758,, ,Model
235768,, ,Model
235779,, ,Model
235791,, ,Model
235801,, ,Model
235811,, ,Model
235824,, ,Model
235834,, ,Model
235845,, ,Model
235858,, ,Model
235869,, ,Model
235879,, ,Model
235891,, ,Model
235901,, ,Model
235912,, ,Model
235924,, ,Model
235935,, ,Model
235946,, ,Model
235958,, ,Model
235970,, ,Model
235980,, ,Model
235991,, ,Model
236001,, ,Model
236012,, ,Model
236025,, ,Model
236036,, ,Model
236047,, ,Model
236058,, ,Model
236068,, ,Model
236079,, ,Model
236090,, ,Model
236100,, ,Model
236111,, ,Model
236124,, ,Model
236135,, ,Model
236146,, ,Model
236157,, ,Model
236168,, ,Model
236179,, ,Model
236191,, ,Model
236202,, ,Model
236212,, ,Model
236224,, ,Model
236234,850.44,719.83,Area 1
236245,850.44,719.83,Area 1
236257,850.44,719.83,Area 1
236267,836.21,738.96,Area 1
236278,836.21,738.96,Area 1
236291,822.62,770.10,Area 1
236302,822.62,770.10,Area 1
236312,822.62,770.10,Area 1
236325,823.23,758.03,Area 1
236336,823.23,758.03,Area 1
236347,823.23,758.03,Area 1
236358,819.72,743.78,Area 1
236369,819.72,743.78,Area 1
236380,819.72,743.78,Area 1
236391,773.28,762.42,Area 1
236401,773.28,762.42,Area 1
236412,773.28,762.42,Area 1
236424,730.15,770.63,Area 1
236435,730.15,770.63,Area 1
236445,731.19,765.50,Area 1
236457,731.19,765.50,Area 1
236468,731.19,765.50,Area 1
236479,737.75,759.59,Area 1
236491,737.75,759.59,Area 1
236501,737.75,759.59,Area 1
236512,745.46,755.29,Area 1
236524,745.46,755.29,Area 1
236534,749.51,748.35,Area 1
236545,749.51,748.35,Area 1
236558,749.51,748.35,Area 1
236568,750.94,742.46,Area 1
236579,750.94,742.46,Area 1
236591,750.94,742.46,Area 1
236601,753.17,736.86,Area 1
236611,753.17,736.86,Area 1
236624,753.17,736.86,Area 1
236634,826.46,695.78,Area 1
236644,826.46,695.78,Area 1
236658,904.18,655.22,Area 1
236669,904.18,655.22,Area 1
236680,904.18,655.22,Area 1
236691,913.18,648.79,Area 1
236703,913.18,648.79,Area 1
236713,913.18,648.79,Area 1
236724,914.46,644.09,Area 1
236734,914.46,644.09,Area 1
236744,914.46,644.09,Area 1
236758,916.07,639.87,Area 1
236769,916.07,639.87,Area 1
236779,921.90,637.40,Area 1
236791,921.90,637.40,Area 1
236801,921.90,637.40,Area 1
236811,922.99,638.30,Area 1
236824,922.99,638.30,Area 1
236835,922.99,638.30,Area 1
236845,922.92,637.60,Area 1
236857,922.92,637.60,Area 1
236869,932.59,634.84,Area 1
236880,932.59,634.84,Area 1
236892,932.59,634.84,Area 1
