Time(ms),X,Y,Area
208634,,,Model
208645,,,Model
208654,,,Model
208665,,,Model
208675,,,Model
208685,,,Model
208695,,,Model
208706,,,Model
208716,,,Model
208726,,,Model
208737,,,Model
208745,,,Model
208756,,,Model
208767,,,Model
208776,,,Model
208787,,,Model
208797,,,Model
208807,,,Model
208819,,,Model
208828,,,Model
208838,,,Model
208850,,,Model
208859,,,Model
208871,,,Model
208881,,,Model
208891,,,Model
208902,,,Model
208912,,,Model
208922,,,Model
208932,,,Model
208943,,,Model
208953,,,Model
208963,,,Model
208975,,,Model
208984,,,Model
208994,,,Model
209004,,,Model
209013,,,Model
209023,,,Model
209034,,,Model
209045,,,Model
209055,,,Model
209066,,,Model
209075,,,Model
209085,,,Model
209095,,,Model
209105,,,Model
209115,,,Model
209126,,,Model
209136,,,Model
209145,,,Model
209156,,,Model
209164,,,Model
209175,,,Model
209186,,,Model
209194,,,Model
209205,,,Model
209216,,,Model
209225,,,Model
209235,,,Model
209245,,,Model
209255,,,Model
209265,,,Model
209276,,,Model
209286,,,Model
209299,,,Model
209315,,,Model
209321,,,Model
209333,,,Model
209342,,,Model
209352,,,Model
209363,,,Model
209373,,,Model
209383,,,Model
209393,,,Model
209403,,,Model
209412,,,Model
209424,,,Model
209433,,,Model
209443,,,Model
209454,,,Model
209463,,,Model
209474,,,Model
209485,,,Model
209494,,,Model
209505,,,Model
209515,,,Model
209524,,,Model
209533,,,Model
209544,,,Model
209554,,,Model
209564,,,Model
209574,,,Model
209584,,,Model
209594,,,Model
209604,,,Model
209614,,,Model
209623,,,Model
209634,436.85,486.11,Area 1
209645,436.85,486.11,Area 1
209654,436.85,486.11,Area 1
209665,435.07,470.48,Area 1
209675,435.07,470.48,Area 1
209685,435.07,470.48,Area 1
209695,432.89,451.63,Area 1
209706,432.89,451.63,Area 1
209716,432.89,451.63,Area 1
209726,433.29,446.98,Area 1
209737,433.29,446.98,Area 1
209745,433.29,446.98,Area 1
209756,434.45,447.98,Area 1
209767,434.45,447.98,Area 1
209776,434.45,447.98,Area 1
209787,434.6,447.29,Area 1
209797,434.6,447.29,Area 1
209807,434.6,447.29,Area 1
209819,436.84,442.21,Area 1
209828,436.84,442.21,Area 1
209838,437.61,443.79,Area 1
209850,437.61,443.79,Area 1
209859,437.61,443.79,Area 1
209871,390.18,454.4,Area 1
209881,390.18,454.4,Area 1
209891,390.18,454.4,Area 1
209902,339.15,461.46,Area 1
209912,339.15,461.46,Area 1
209922,339.15,461.46,Area 1
209932,332.91,461.06,Area 1
209943,332.91,461.06,Area 1
209953,332.91,461.06,Area 1
209963,332.33,462.67,Area 1
209975,332.33,462.67,Area 1
209984,332.33,462.67,Area 1
209994,332.22,463.2,Area 1
210004,332.22,463.2,Area 1
210013,332.22,463.2,Area 1
210023,332.25,463.04,Area 1
210034,332.25,463.04,Area 1
210045,332.25,463.04,Area 1
210055,332.83,462.67,Area 1
210066,332.83,462.67,Area 1
210075,332.83,462.67,Area 1
210085,332.78,460.42,Area 1
210095,332.78,460.42,Area 1
210105,332.78,460.42,Area 1
210115,331.68,461.29,Area 1
210126,331.68,461.29,Area 1
210136,331.68,461.29,Area 1
210145,331.88,461.12,Area 1
210156,331.88,461.12,Area 1
210164,331.88,461.12,Area 1
210175,330.8,459.64,Area 1
210186,330.8,459.64,Area 1
210194,330.8,459.64,Area 1
210205,316.01,469.12,Area 1
210216,316.01,469.12,Area 1
210225,316.01,469.12,Area 1
210235,303.28,477.43,Area 1
210245,303.28,477.43,Area 1
210255,303.28,477.43,Area 1
210265,301.62,479.35,Area 1
210276,301.62,479.35,Area 1
210286,301.62,479.35,Area 1
210299,301.33,479.36,Area 1
210315,301.33,479.36,Area 1
210321,302.94,476.8,Area 1
210333,302.94,476.8,Area 1
210342,302.94,476.8,Area 1
210352,301.07,479.04,Area 1
210363,301.07,479.04,Area 1
210373,301.07,479.04,Area 1
210383,299.94,481.32,Area 1
210393,299.94,481.32,Area 1
210403,299.94,481.32,Area 1
210412,301.78,479.77,Area 1
210424,301.78,479.77,Area 1
210433,301.78,479.77,Area 1
210443,301.36,477.89,Area 1
210454,301.36,477.89,Area 1
210463,301.36,477.89,Area 1
210474,299.8,479.43,Area 1
210485,299.8,479.43,Area 1
210494,299.8,479.43,Area 1
210505,298.31,482.26,Area 1
210515,298.31,482.26,Area 1
210524,298.31,482.26,Area 1
210533,298.23,485.71,Area 1
210544,298.23,485.71,Area 1
210554,298.23,485.71,Area 1
210564,300.09,488.14,Area 1
210574,300.09,488.14,Area 1
210584,300.09,488.14,Area 1
210594,299.67,487.52,Area 1
210606,299.67,487.52,Area 1
210616,299.67,487.52,Area 1
210625,298.75,486.78,Area 1
210636,298.75,486.78,Area 1
210645,298.75,486.78,Area 1
210655,299.42,485.12,Area 1
210666,299.42,485.12,Area 1
210675,299.42,485.12,Area 1
210686,300.93,484.38,Area 1
210695,300.93,484.38,Area 1
210705,300.93,484.38,Area 1
210714,301.29,487.26,Area 1
210725,301.29,487.26,Area 1
210734,301.29,487.26,Area 1
210743,301.29,487.26,Area 1
210754,301.32,488.18,Area 1
210764,301.32,488.18,Area 1
210773,301.32,488.18,Area 1
210784,302.36,488.98,Area 1
210794,302.36,488.98,Area 1
210804,304.96,490.72,Area 1
210815,304.96,490.72,Area 1
210825,304.96,490.72,Area 1
210834,304.96,490.72,Area 1
210844,457.74,499.61,Area 1
210854,457.74,499.61,Area 1
210864,457.74,499.61,Area 1
210874,736.77,493.35,Area 2
210886,736.77,493.35,Area 2
210895,736.77,493.35,Area 2
210906,885.16,497.56,Area 2
210917,885.16,497.56,Area 2
210926,906.86,524.22,Area 2
210937,906.86,524.22,Area 2
210945,906.86,524.22,Area 2
210956,906.86,524.22,Area 2
210967,911.54,526.97,Area 2
210976,911.54,526.97,Area 2
210987,916.38,524.31,Area 2
210997,916.38,524.31,Area 2
211008,916.38,524.31,Area 2
211018,919.2,524.93,Area 2
211028,919.2,524.93,Area 2
211039,919.2,524.93,Area 2
211048,918.98,524.3,Area 2
211059,918.98,524.3,Area 2
211068,918.98,524.3,Area 2
211076,918.98,524.3,Area 2
211087,916.72,525.47,Area 2
211098,916.72,525.47,Area 2
211108,913.94,526.64,Area 2
211119,913.94,526.64,Area 2
211128,913.94,526.64,Area 2
211138,913.32,517.79,Area 2
211148,913.32,517.79,Area 2
211159,913.32,517.79,Area 2
211169,913.48,510.9,Area 2
211179,913.48,510.9,Area 2
211189,913.48,510.9,Area 2
211200,911.49,512.01,Area 2
211210,911.49,512.01,Area 2
211220,911.49,512.01,Area 2
211229,909.81,507.44,Area 2
211240,909.81,507.44,Area 2
211250,909.81,507.44,Area 2
211258,908.98,505.84,Area 2
211269,908.98,505.84,Area 2
211278,908.98,505.84,Area 2
211288,907.82,507.32,Area 2
211300,907.82,507.32,Area 2
211308,907.82,507.32,Area 2
211318,906.05,506.07,Area 2
211329,906.05,506.07,Area 2
211339,906.05,506.07,Area 2
211350,906.4,503.98,Area 2
211359,906.4,503.98,Area 2
211370,906.4,503.98,Area 2
211378,907.06,501.82,Area 2
211390,907.06,501.82,Area 2
211399,907.06,501.82,Area 2
211409,905.34,501.8,Area 2
211421,905.34,501.8,Area 2
211430,905.34,501.8,Area 2
211441,903.23,501.51,Area 2
211453,903.23,501.51,Area 2
211461,903.23,501.51,Area 2
211473,902.56,499.09,Area 2
211483,902.56,499.09,Area 2
211492,902.56,499.09,Area 2
211502,903.58,500.09,Area 2
211512,903.58,500.09,Area 2
211523,903.58,500.09,Area 2
211533,904.78,504,Area 2
211543,904.78,504,Area 2
211553,904.78,504,Area 2
211563,904.76,506.38,Area 2
211574,904.76,506.38,Area 2
211584,904.76,506.38,Area 2
211594,905.05,504.75,Area 2
211612,905.05,504.75,Area 2
211619,905.05,504.75,Area 2
211629,906.41,502.22,Area 2
211639,906.41,502.22,Area 2
211650,906.55,500.8,Area 2
211661,906.55,500.8,Area 2
211670,906.55,500.8,Area 2
211680,906.55,500.8,Area 2
211690,906.94,498.55,Area 2
211701,906.94,498.55,Area 2
211710,906.94,498.55,Area 2
211720,907.15,499.13,Area 2
211731,907.15,499.13,Area 2
211740,907.15,499.13,Area 2
211751,908.64,501.96,Area 2
211760,908.64,501.96,Area 2
211771,908.64,501.96,Area 2
211781,909.14,502.53,Area 2
211792,909.14,502.53,Area 2
211802,909.47,503.1,Area 2
211813,909.47,503.1,Area 2
211823,909.47,503.1,Area 2
211834,911.96,505.57,Area 2
211844,911.96,505.57,Area 2
211854,911.96,505.57,Area 2
211864,911.82,507.64,Area 2
211875,911.82,507.64,Area 2
211884,911.82,507.64,Area 2
211894,911.66,508.99,Area 2
211905,911.66,508.99,Area 2
211914,911.66,508.99,Area 2
211925,911.64,506.89,Area 2
211935,911.64,506.89,Area 2
211944,911.64,506.89,Area 2
211955,909.77,506.11,Area 2
211965,909.77,506.11,Area 2
211973,909.77,506.11,Area 2
211983,909.77,506.11,Area 2
211993,908.92,506.79,Area 2
212003,908.92,506.79,Area 2
212013,908.92,506.79,Area 2
212024,909.67,504.64,Area 2
212035,909.67,504.64,Area 2
212045,909.5,503.93,Area 2
212056,909.5,503.93,Area 2
212066,909.5,503.93,Area 2
212075,908.06,504.34,Area 2
212086,908.06,504.34,Area 2
212095,908.06,504.34,Area 2
212105,836,493.08,Area 2
212117,836,493.08,Area 2
212126,836,493.08,Area 2
212137,573.02,406.87,Area 2
212149,573.02,406.87,Area 2
212158,573.02,406.87,Area 2
212169,339.43,265.77,Area 3
212179,339.43,265.77,Area 3
212189,339.43,265.77,Area 3
212199,310.29,241.84,Area 3
212209,310.29,241.84,Area 3
212218,310.29,241.84,Area 3
212227,321.8,245.72,Area 3
212239,321.8,245.72,Area 3
212247,321.8,245.72,Area 3
212258,327.72,225.03,Area 3
212269,327.72,225.03,Area 3
212278,327.72,225.03,Area 3
212288,335.14,245.54,Area 3
212299,335.14,245.54,Area 3
212308,335.14,245.54,Area 3
212319,337.52,249.47,Area 3
212329,337.52,249.47,Area 3
212340,337.52,249.47,Area 3
212350,342.12,251.56,Area 3
212359,342.12,251.56,Area 3
212369,342.12,251.56,Area 3
212379,324.77,252.56,Area 3
212390,324.77,252.56,Area 3
212400,324.77,252.56,Area 3
212409,309.22,251.52,Area 3
212419,309.22,251.52,Area 3
212428,309.22,251.52,Area 3
212440,312.75,251.67,Area 3
212450,312.75,251.67,Area 3
212459,312.75,251.67,Area 3
212468,314.6,251.59,Area 3
212478,314.6,251.59,Area 3
212489,314.6,251.59,Area 3
212499,314.8,249.54,Area 3
212509,314.8,249.54,Area 3
212518,314.8,249.54,Area 3
212527,314.66,248.48,Area 3
212538,314.66,248.48,Area 3
212547,314.66,248.48,Area 3
212557,316.73,248.41,Area 3
212569,316.73,248.41,Area 3
212577,316.73,248.41,Area 3
212587,317.29,249.92,Area 3
212598,317.29,249.92,Area 3
212608,317.29,249.92,Area 3
212617,317.41,250.18,Area 3
212629,317.41,250.18,Area 3
212639,317.41,250.18,Area 3
212649,316.96,250.08,Area 3
212659,316.96,250.08,Area 3
212669,316.96,250.08,Area 3
212678,316.94,248.82,Area 3
212688,316.94,248.82,Area 3
212697,316.94,248.82,Area 3
212707,316.94,248.82,Area 3
212717,316.99,247.71,Area 3
212727,316.99,247.71,Area 3
212737,316.99,247.71,Area 3
212746,314.84,248.43,Area 3
212757,314.84,248.43,Area 3
212769,313.56,251.2,Area 3
212779,313.56,251.2,Area 3
212789,313.56,251.2,Area 3
212800,315.73,251.55,Area 3
212810,315.73,251.55,Area 3
212820,315.73,251.55,Area 3
212830,317.07,249.42,Area 3
212841,317.07,249.42,Area 3
212851,317.07,249.42,Area 3
212860,315.97,251.35,Area 3
212871,315.97,251.35,Area 3
212882,315.97,251.35,Area 3
212892,315.43,251.4,Area 3
212912,315.43,251.4,Area 3
212919,315.43,251.4,Area 3
212928,315.11,249.02,Area 3
212939,315.11,249.02,Area 3
212949,315.11,249.02,Area 3
212959,314.17,247.81,Area 3
212970,314.17,247.81,Area 3
212980,314.15,247.29,Area 3
212990,314.15,247.29,Area 3
213001,314.15,247.29,Area 3
213009,314.15,247.29,Area 3
213020,315.41,244.93,Area 3
213030,315.41,244.93,Area 3
213040,315.41,244.93,Area 3
213050,316.02,243.28,Area 3
213060,316.02,243.28,Area 3
213071,315.37,245.31,Area 3
213081,315.37,245.31,Area 3
213091,315.37,245.31,Area 3
213102,313.85,247.55,Area 3
213112,313.85,247.55,Area 3
213122,313.85,247.55,Area 3
213133,314.55,245.44,Area 3
213144,314.55,245.44,Area 3
213153,314.55,245.44,Area 3
213163,317.12,243.16,Area 3
213173,317.12,243.16,Area 3
213183,317.12,243.16,Area 3
213192,316.72,244.5,Area 3
213202,316.72,244.5,Area 3
213211,316.72,244.5,Area 3
213223,315.72,245.22,Area 3
213233,315.72,245.22,Area 3
213242,315.72,245.22,Area 3
213252,316.67,246.57,Area 3
213262,316.67,246.57,Area 3
213272,316.67,246.57,Area 3
213281,316.67,246.57,Area 3
213292,315.75,249.34,Area 3
213302,315.75,249.34,Area 3
213311,315.75,249.34,Area 3
213321,314.92,249.99,Area 3
213331,314.92,249.99,Area 3
213341,314.92,249.99,Area 3
213351,317.33,247.56,Area 3
213360,317.33,247.56,Area 3
213370,317.33,247.56,Area 3
213380,434.37,237.68,Area 3
213391,434.37,237.68,Area 3
213401,434.37,237.68,Area 3
213411,640.84,225.09,Area 4
213422,640.84,225.09,Area 4
213431,640.84,225.09,Area 4
213441,731.25,221.61,Area 4
213452,731.25,221.61,Area 4
213460,731.25,221.61,Area 4
213471,730.37,221.88,Area 4
213481,730.37,221.88,Area 4
213491,730.37,221.88,Area 4
213501,729.64,221.09,Area 4
213511,729.64,221.09,Area 4
213520,729.72,220.53,Area 4
213533,729.72,220.53,Area 4
213541,729.72,220.53,Area 4
213553,729.72,220.53,Area 4
213562,729.72,220.53,Area 4
213581,729.72,220.53,Area 4
213591,729.72,220.53,Area 4
213601,729.72,220.53,Area 4
213610,729.72,220.53,Area 4
213620,903.31,233.47,Area 4
213631,903.31,233.47,Area 4
213641,903.31,233.47,Area 4
213651,898.26,243.2,Area 4
213661,898.26,243.2,Area 4
213671,898.26,243.2,Area 4
213683,893.81,250.43,Area 4
213693,893.81,250.43,Area 4
213702,893.81,250.43,Area 4
213712,890.87,250.73,Area 4
213723,890.87,250.73,Area 4
213733,890.87,250.73,Area 4
213743,888.5,253.26,Area 4
213754,888.5,253.26,Area 4
213764,888.5,253.26,Area 4
213774,889.87,251.9,Area 4
213786,889.87,251.9,Area 4
213794,889.87,251.9,Area 4
213805,889.89,249.72,Area 4
213815,889.89,249.72,Area 4
213825,889.89,249.72,Area 4
213836,890.06,250.95,Area 4
213846,890.06,250.95,Area 4
213856,890.99,244.69,Area 4
213868,890.99,244.69,Area 4
213877,890.99,244.69,Area 4
213888,890.36,235.07,Area 4
213900,890.36,235.07,Area 4
213909,890.36,235.07,Area 4
213920,889.43,235.38,Area 4
213930,889.43,235.38,Area 4
213940,889.43,235.38,Area 4
213951,889.67,236.76,Area 4
213961,889.67,236.76,Area 4
213971,889.67,236.76,Area 4
213980,891.02,237.22,Area 4
213991,891.02,237.22,Area 4
214000,891.02,237.22,Area 4
214010,891.67,235.81,Area 4
214021,891.67,235.81,Area 4
214030,891.67,235.81,Area 4
214041,891.1,235.91,Area 4
214053,891.1,235.91,Area 4
214061,891.1,235.91,Area 4
214072,890.91,236.45,Area 4
214082,890.91,236.45,Area 4
214092,890.91,236.45,Area 4
214101,890.55,236.87,Area 4
214112,890.55,236.87,Area 4
214122,890.55,236.87,Area 4
214131,892.03,235.53,Area 4
214142,892.03,235.53,Area 4
214151,892.03,235.53,Area 4
214161,892.62,237,Area 4
214173,892.62,237,Area 4
214182,892.62,237,Area 4
214192,893.19,240.41,Area 4
214204,893.19,240.41,Area 4
214213,893.19,240.41,Area 4
214231,893.2,239.61,Area 4
214239,893.2,239.61,Area 4
214250,893.06,239.58,Area 4
214260,893.06,239.58,Area 4
214270,893.06,239.58,Area 4
214280,894,239.12,Area 4
214291,894,239.12,Area 4
214301,894,239.12,Area 4
214311,893.49,235.66,Area 4
214322,893.49,235.66,Area 4
214330,893.49,235.66,Area 4
214341,892.57,234.33,Area 4
214351,892.57,234.33,Area 4
214360,892.57,234.33,Area 4
214370,892.67,238.15,Area 4
214380,892.67,238.15,Area 4
214390,892.67,238.15,Area 4
214401,892.68,238.51,Area 4
214411,892.68,238.51,Area 4
214422,892.68,238.51,Area 4
214432,891.63,240.81,Area 4
214442,891.63,240.81,Area 4
214452,891.63,240.81,Area 4
214462,891.54,243.72,Area 4
214473,891.54,243.72,Area 4
214482,891.54,243.72,Area 4
214492,892.42,242.9,Area 4
214503,892.42,242.9,Area 4
214512,892.42,242.9,Area 4
214522,893.71,244.77,Area 4
214532,893.71,244.77,Area 4
214541,893.71,244.77,Area 4
214552,893.57,244.61,Area 4
214562,893.57,244.61,Area 4
214572,893.57,244.61,Area 4
214584,894.24,243.26,Area 4
