Time(ms),X,Y,Area
84963,1844.52,813.03,Area 2
84974,1844.52,813.03,Area 2
84984,1844.52,813.03,Area 2
84995,1844.52,813.03,Area 2
85006,1844.52,813.03,Area 2
85018,1844.52,813.03,Area 2
85029,1844.52,813.03,Area 2
85039,1844.52,813.03,Area 2
85051,1844.52,813.03,Area 2
85062,1844.52,813.03,Area 2
85073,1844.52,813.03,Area 2
85084,1844.52,813.03,Area 2
85095,, ,Model
85105,, ,Model
85118,, ,Model
85134,, ,Model
85145,, ,Model
85155,, ,Model
85169,, ,Model
85179,, ,Model
85190,, ,Model
85201,, ,Model
85212,, ,Model
85222,, ,Model
85235,, ,Model
85246,, ,Model
85257,, ,Model
85268,, ,Model
85278,, ,Model
85289,, ,Model
85301,, ,Model
85311,, ,Model
85322,, ,Model
85334,, ,Model
85344,, ,Model
85356,, ,Model
85369,, ,Model
85384,, ,Model
85396,, ,Model
85407,, ,Model
85418,, ,Model
85428,, ,Model
85438,, ,Model
85451,, ,Model
85462,, ,Model
85474,, ,Model
85484,, ,Model
85495,, ,Model
85505,, ,Model
85518,, ,Model
85528,, ,Model
85539,, ,Model
85552,, ,Model
85568,, ,Model
85578,, ,Model
85589,, ,Model
85601,, ,Model
85617,, ,Model
85628,, ,Model
85639,, ,Model
85651,, ,Model
85662,, ,Model
85673,, ,Model
85684,, ,Model
85696,, ,Model
85707,, ,Model
85718,, ,Model
85729,, ,Model
85739,, ,Model
85752,, ,Model
85763,, ,Model
85773,, ,Model
85785,, ,Model
85795,, ,Model
85805,, ,Model
85818,, ,Model
85828,, ,Model
85839,, ,Model
85852,, ,Model
85862,, ,Model
85872,, ,Model
85885,, ,Model
85897,, ,Model
85908,, ,Model
85918,, ,Model
85928,, ,Model
85939,, ,Model
85951,, ,Model
85961,, ,Model
85973,, ,Model
85985,, ,Model
85995,, ,Model
86005,, ,Model
86018,, ,Model
86029,, ,Model
86039,, ,Model
86051,, ,Model
86062,, ,Model
86073,, ,Model
86085,, ,Model
86095,, ,Model
86106,, ,Model
86118,, ,Model
86128,, ,Model
86139,, ,Model
86151,, ,Model
86161,, ,Model
86172,, ,Model
86185,, ,Model
86195,, ,Model
86205,, ,Model
86217,, ,Model
86228,, ,Model
86239,, ,Model
86252,, ,Model
86262,, ,Model
86273,, ,Model
86285,, ,Model
86296,, ,Model
86306,, ,Model
86318,, ,Model
86329,, ,Model
86339,, ,Model
86350,, ,Model
86361,, ,Model
86371,, ,Model
86384,, ,Model
86395,, ,Model
86406,, ,Model
86418,, ,Model
86429,, ,Model
86439,, ,Model
86451,, ,Model
86461,, ,Model
86472,, ,Model
86484,, ,Model
86495,, ,Model
86506,, ,Model
86518,, ,Model
86528,, ,Model
86539,, ,Model
86551,, ,Model
86562,, ,Model
86575,, ,Model
86585,, ,Model
86595,, ,Model
86606,, ,Model
86618,, ,Model
86630,, ,Model
86640,, ,Model
86652,, ,Model
86662,, ,Model
86673,, ,Model
86685,, ,Model
86696,, ,Model
86706,, ,Model
86718,, ,Model
86729,, ,Model
86740,, ,Model
86752,, ,Model
86763,, ,Model
86773,, ,Model
86784,, ,Model
86795,, ,Model
86806,, ,Model
86818,, ,Model
86828,, ,Model
86839,, ,Model
86852,, ,Model
86862,, ,Model
86873,, ,Model
86884,, ,Model
86894,, ,Model
86905,, ,Model
86918,, ,Model
86929,, ,Model
86939,, ,Model
86951,, ,Model
86962,, ,Model
86973,, ,Model
86984,, ,Model
86995,, ,Model
87006,, ,Model
87018,, ,Model
87029,, ,Model
87039,, ,Model
87051,, ,Model
87062,, ,Model
87072,, ,Model
87084,, ,Model
87095,, ,Model
87105,, ,Model
87118,, ,Model
87134,, ,Model
87146,, ,Model
87156,, ,Model
87169,, ,Model
87179,, ,Model
87189,, ,Model
87201,, ,Model
87212,, ,Model
87223,, ,Model
87234,, ,Model
87245,, ,Model
87256,, ,Model
87269,, ,Model
87279,, ,Model
87290,, ,Model
87302,, ,Model
87318,, ,Model
87329,, ,Model
87339,, ,Model
87351,, ,Model
87361,, ,Model
87371,, ,Model
87385,, ,Model
87396,, ,Model
87407,, ,Model
87418,, ,Model
87428,, ,Model
87439,, ,Model
87451,, ,Model
87462,, ,Model
87472,, ,Model
