Time(ms),X,Y,Area
138556,939.22,670.94,Area 1
138566,939.22,670.94,Area 1
138577,939.22,670.94,Area 1
138588,939.22,670.94,Area 1
138598,939.22,670.94,Area 1
138609,939.22,670.94,Area 1
138622,939.22,670.94,Area 1
138633,939.22,670.94,Area 1
138644,939.22,670.94,Area 1
138656,939.22,670.94,Area 1
138672,939.22,670.94,Area 1
138682,939.22,670.94,Area 1
138693,939.22,670.94,Area 1
138705,, ,Model
138716,, ,Model
138726,, ,Model
138738,, ,Model
138748,, ,Model
138760,, ,Model
138772,, ,Model
138788,, ,Model
138800,, ,Model
138811,, ,Model
138821,, ,Model
138832,, ,Model
138843,, ,Model
138855,, ,Model
138866,, ,Model
138876,, ,Model
138889,, ,Model
138905,, ,Model
138916,, ,Model
138927,, ,Model
138939,, ,Model
138949,, ,Model
138960,, ,Model
138972,, ,Model
138983,, ,Model
138994,, ,Model
139007,, ,Model
139030,, ,Model
139041,, ,Model
139057,, ,Model
139071,, ,Model
139081,, ,Model
139092,, ,Model
139105,, ,Model
139115,, ,Model
139127,, ,Model
139138,, ,Model
139148,, ,Model
139158,, ,Model
139172,, ,Model
139183,, ,Model
139193,, ,Model
139206,, ,Model
139217,, ,Model
139227,, ,Model
139239,, ,Model
139255,, ,Model
139266,, ,Model
139276,, ,Model
139292,, ,Model
139306,, ,Model
139316,, ,Model
139327,, ,Model
139339,, ,Model
139349,, ,Model
139361,, ,Model
139373,, ,Model
139389,, ,Model
139399,, ,Model
139410,, ,Model
139421,, ,Model
139433,, ,Model
139443,, ,Model
139455,, ,Model
139465,, ,Model
139477,, ,Model
139490,, ,Model
139507,, ,Model
139521,, ,Model
139532,, ,Model
139542,, ,Model
139554,, ,Model
139565,, ,Model
139575,, ,Model
139595,, ,Model
139612,, ,Model
139622,, ,Model
139634,, ,Model
139644,, ,Model
139656,, ,Model
139671,, ,Model
139681,, ,Model
139692,, ,Model
139706,, ,Model
139722,, ,Model
139733,, ,Model
139744,, ,Model
139755,, ,Model
139766,, ,Model
139776,, ,Model
139788,, ,Model
139799,, ,Model
139809,, ,Model
139822,, ,Model
139832,, ,Model
139842,, ,Model
139855,, ,Model
139866,, ,Model
139876,, ,Model
139888,, ,Model
139900,, ,Model
139910,, ,Model
139922,, ,Model
139934,, ,Model
139944,, ,Model
139955,, ,Model
139966,, ,Model
139976,, ,Model
139988,, ,Model
139998,, ,Model
140009,, ,Model
140022,, ,Model
140032,, ,Model
140043,, ,Model
140056,, ,Model
140068,, ,Model
140082,, ,Model
140092,, ,Model
140107,, ,Model
140117,, ,Model
140128,, ,Model
140139,, ,Model
140149,, ,Model
140161,, ,Model
140174,, ,Model
140189,, ,Model
140199,, ,Model
140210,, ,Model
140222,, ,Model
140232,, ,Model
140242,, ,Model
140254,, ,Model
140265,, ,Model
140276,, ,Model
140291,, ,Model
140305,, ,Model
140316,, ,Model
140326,, ,Model
140339,, ,Model
140355,, ,Model
140365,, ,Model
140376,, ,Model
140388,, ,Model
140398,, ,Model
140409,521.04,751.20,Area 1
140422,521.04,751.20,Area 1
140432,521.04,751.20,Area 1
140442,521.04,751.20,Area 1
140456,521.04,751.20,Area 1
140466,521.04,751.20,Area 1
140477,521.04,751.20,Area 1
140488,521.04,751.20,Area 1
140499,521.04,751.20,Area 1
140510,521.04,751.20,Area 1
140523,521.04,751.20,Area 1
140533,521.04,751.20,Area 1
140543,521.04,751.20,Area 1
140557,674.01,797.11,Area 1
140568,674.01,797.11,Area 1
140578,674.01,797.11,Area 1
140589,607.55,774.86,Area 1
140605,607.55,774.86,Area 1
140616,545.60,720.20,Area 1
140627,545.60,720.20,Area 1
140638,545.60,720.20,Area 1
140650,613.10,701.57,Area 1
140660,613.10,701.57,Area 1
140672,613.10,701.57,Area 1
140682,577.25,696.57,Area 1
140694,577.25,696.57,Area 1
140705,577.25,696.57,Area 1
140723,577.63,713.95,Area 1
140734,577.63,713.95,Area 1
140745,609.25,729.38,Area 1
140757,609.25,729.38,Area 1
140780,613.17,727.37,Area 1
140799,618.24,720.87,Area 1
140809,618.24,720.87,Area 1
140830,618.35,719.78,Area 1
140841,618.35,719.78,Area 1
140855,618.35,719.78,Area 1
140866,626.35,718.77,Area 1
140876,626.35,718.77,Area 1
140888,626.35,718.77,Area 1
140900,630.89,712.32,Area 1
140910,630.89,712.32,Area 1
140922,625.99,710.07,Area 1
140932,625.99,710.07,Area 1
140943,625.99,710.07,Area 1
140955,663.50,725.81,Area 1
140966,663.50,725.81,Area 1
140976,663.50,725.81,Area 1
140988,692.99,736.46,Area 1
140999,692.99,736.46,Area 1
141009,692.99,736.46,Area 1
141022,696.32,730.09,Area 1
141032,696.32,730.09,Area 1
141044,700.70,735.89,Area 1
141055,700.70,735.89,Area 1
141065,700.70,735.89,Area 1
141075,693.84,743.48,Area 1
141087,693.84,743.48,Area 1
141098,693.84,743.48,Area 1
141108,706.17,746.43,Area 1
141121,706.17,746.43,Area 1
141132,735.44,740.16,Area 1
141144,735.44,740.16,Area 1
141155,735.44,740.16,Area 1
141166,747.59,733.01,Area 1
141177,747.59,733.01,Area 1
141188,747.59,733.01,Area 1
141200,750.59,738.71,Area 1
141212,750.59,738.71,Area 1
141223,759.85,734.51,Area 1
141237,759.85,734.51,Area 1
141249,759.85,734.51,Area 1
141259,754.62,747.06,Area 1
141272,754.62,747.06,Area 1
141282,754.62,747.06,Area 1
141293,747.38,760.71,Area 1
141306,747.38,760.71,Area 1
141317,746.20,757.21,Area 1
141328,746.20,757.21,Area 1
141338,746.20,757.21,Area 1
141348,749.83,756.82,Area 1
141358,749.83,756.82,Area 1
141371,749.83,756.82,Area 1
141382,753.69,754.25,Area 1
141392,753.69,754.25,Area 1
141405,755.00,749.20,Area 1
141416,755.00,749.20,Area 1
141426,755.00,749.20,Area 1
141438,752.62,740.35,Area 1
141448,752.62,740.35,Area 1
141458,752.62,740.35,Area 1
141472,749.63,747.90,Area 1
141482,749.63,747.90,Area 1
141493,749.63,747.90,Area 1
141504,745.37,760.23,Area 1
141515,745.37,760.23,Area 1
141526,736.45,764.30,Area 1
141540,736.45,764.30,Area 1
141550,736.45,764.30,Area 1
141560,731.03,763.65,Area 1
141576,731.03,763.65,Area 1
141588,729.49,769.47,Area 1
141600,729.49,769.47,Area 1
141611,729.49,769.47,Area 1
141621,719.57,772.05,Area 1
141631,719.57,772.05,Area 1
141642,719.57,772.05,Area 1
141654,708.46,765.37,Area 1
141666,708.46,765.37,Area 1
141676,698.78,767.19,Area 1
141688,698.78,767.19,Area 1
141700,698.78,767.19,Area 1
141710,690.56,775.30,Area 1
141723,690.56,775.30,Area 1
141733,690.56,775.30,Area 1
141743,681.18,787.61,Area 1
141756,681.18,787.61,Area 1
141772,659.48,791.19,Area 1
141782,659.48,791.19,Area 1
141793,659.48,791.19,Area 1
141806,648.74,794.26,Area 1
141822,648.74,794.26,Area 1
141833,658.09,799.49,Area 1
141843,658.09,799.49,Area 1
141854,658.09,799.49,Area 1
141864,655.59,802.16,Area 1
141875,655.59,802.16,Area 1
141886,655.59,802.16,Area 1
141897,652.49,804.23,Area 1
141907,652.49,804.23,Area 1
141922,650.66,801.31,Area 1
