Time(ms),X,Y,Area
234423,698.58,782.43,Area 1
234434,698.58,782.43,Area 1
234446,693.86,789.09,Area 1
234457,693.86,789.09,Area 1
234468,693.86,789.09,Area 1
234478,695.00,790.58,Area 1
234490,695.00,790.58,Area 1
234501,698.12,794.95,Area 1
234511,698.12,794.95,Area 1
234524,698.12,794.95,Area 1
234535,697.53,801.37,Area 1
234546,697.53,801.37,Area 1
234557,697.53,801.37,Area 1
234567,695.34,797.87,Area 1
234578,695.34,797.87,Area 1
234591,693.69,794.09,Area 1
234601,693.69,794.09,Area 1
234612,693.69,794.09,Area 1
234623,694.34,794.83,Area 1
234634,694.34,794.83,Area 1
234645,694.34,794.83,Area 1
234658,692.75,793.44,Area 1
234668,692.75,793.44,Area 1
234679,692.75,793.44,Area 1
234690,693.02,794.96,Area 1
234701,693.02,794.96,Area 1
234712,694.79,796.40,Area 1
234724,694.79,796.40,Area 1
234734,694.79,796.40,Area 1
234745,696.41,794.47,Area 1
234757,696.41,794.47,Area 1
234767,696.41,794.47,Area 1
234777,698.44,794.55,Area 1
234791,698.44,794.55,Area 1
234802,695.87,796.30,Area 1
234812,695.87,796.30,Area 1
234823,695.87,796.30,Area 1
234834,691.91,794.36,Area 1
234845,691.91,794.36,Area 1
234857,691.91,794.36,Area 1
234867,689.97,791.34,Area 1
234878,689.97,791.34,Area 1
234890,689.97,791.34,Area 1
234902,690.62,787.58,Area 1
234912,690.62,787.58,Area 1
234924,691.20,788.85,Area 1
234935,691.20,788.85,Area 1
234945,691.20,788.85,Area 1
234958,689.27,793.37,Area 1
234968,689.27,793.37,Area 1
234978,689.27,793.37,Area 1
234991,687.56,791.48,Area 1
235002,687.56,791.48,Area 1
235013,687.56,791.48,Area 1
235024,685.16,789.67,Area 1
235035,685.16,789.67,Area 1
235045,683.01,791.35,Area 1
235057,683.01,791.35,Area 1
235067,683.01,791.35,Area 1
235077,681.02,798.97,Area 1
235090,681.02,798.97,Area 1
235100,681.02,798.97,Area 1
235111,670.75,772.81,Area 1
235123,670.75,772.81,Area 1
235134,653.37,678.00,Area 1
235145,653.37,678.00,Area 1
235157,653.37,678.00,Area 1
235167,529.52,586.66,Area 1
235178,529.52,586.66,Area 1
235190,529.52,586.66,Area 1
235200,603.68,649.54,Area 1
235210,603.68,649.54,Area 1
235224,674.86,749.25,Area 1
235234,674.86,749.25,Area 1
235245,674.86,749.25,Area 1
235257,667.37,801.51,Area 1
235268,667.37,801.51,Area 1
235278,667.37,801.51,Area 1
235290,664.72,827.02,Area 1
235301,664.72,827.02,Area 1
235312,664.72,827.02,Area 1
235325,662.50,809.15,Area 1
235335,662.50,809.15,Area 1
235346,658.40,781.18,Area 1
235357,658.40,781.18,Area 1
235368,658.40,781.18,Area 1
235378,658.40,781.18,Area 1
235390,658.40,781.18,Area 1
235401,658.40,781.18,Area 1
235412,658.40,781.18,Area 1
235423,658.40,781.18,Area 1
235434,658.40,781.18,Area 1
235445,658.40,781.18,Area 1
235457,658.40,781.18,Area 1
235468,584.00,811.65,Area 1
235479,584.00,811.65,Area 1
235491,584.00,811.65,Area 1
235501,598.55,804.30,Area 1
235512,598.55,804.30,Area 1
235523,598.55,804.30,Area 1
235534,610.79,817.46,Area 1
235544,610.79,817.46,Area 1
235557,609.73,841.51,Area 1
235567,609.73,841.51,Area 1
235578,609.73,841.51,Area 1
235591,634.67,826.84,Area 1
235601,634.67,826.84,Area 1
235612,634.67,826.84,Area 1
235624,630.17,830.91,Area 1
235640,630.17,830.91,Area 1
235651,624.88,835.21,Area 1
235663,624.88,835.21,Area 1
235674,624.88,835.21,Area 1
235684,626.52,835.00,Area 1
235694,626.52,835.00,Area 1
235707,627.15,830.10,Area 1
235717,627.15,830.10,Area 1
235728,627.15,830.10,Area 1
235740,629.08,827.53,Area 1
235751,629.08,827.53,Area 1
235761,629.08,827.53,Area 1
235773,632.78,825.47,Area 1
235785,632.78,825.47,Area 1
235795,632.78,825.47,Area 1
235808,633.75,818.88,Area 1
235818,633.75,818.88,Area 1
235829,629.92,817.66,Area 1
235840,629.92,817.66,Area 1
235851,629.92,817.66,Area 1
235862,627.85,821.75,Area 1
235873,627.85,821.75,Area 1
235883,627.85,821.75,Area 1
235894,633.35,818.45,Area 1
235908,633.35,818.45,Area 1
235918,633.35,818.45,Area 1
235928,636.20,815.06,Area 1
235940,636.20,815.06,Area 1
235951,630.93,813.59,Area 1
235961,630.93,813.59,Area 1
235973,630.93,813.59,Area 1
235985,628.84,814.76,Area 1
235995,628.84,814.76,Area 1
236008,628.84,814.76,Area 1
236019,710.97,853.43,Area 1
236030,710.97,853.43,Area 1
236040,790.48,887.17,Area 1
236050,790.48,887.17,Area 1
236061,790.48,887.17,Area 1
236073,790.48,887.17,Area 1
236084,790.48,887.17,Area 1
236095,790.48,887.17,Area 1
236107,790.48,887.17,Area 1
236117,790.48,887.17,Area 1
236128,790.48,887.17,Area 1
236141,790.48,887.17,Area 1
236151,790.48,887.17,Area 1
236162,790.48,887.17,Area 1
236174,790.48,887.17,Area 1
236185,790.48,887.17,Area 1
236196,790.48,887.17,Area 1
236207,790.48,887.17,Area 1
236218,790.48,887.17,Area 1
236228,790.48,887.17,Area 1
236240,790.48,887.17,Area 1
236251,790.48,887.17,Area 1
236262,790.48,887.17,Area 1
236273,790.48,887.17,Area 1
236284,790.48,887.17,Area 1
236295,790.48,887.17,Area 1
236307,790.48,887.17,Area 1
236317,790.48,887.17,Area 1
236328,790.48,887.17,Area 1
236340,790.48,887.17,Area 1
236351,790.48,887.17,Area 1
236362,790.48,887.17,Area 1
236374,790.48,887.17,Area 1
236384,790.48,887.17,Area 1
236395,790.48,887.17,Area 1
236406,790.48,887.17,Area 1
236417,790.48,887.17,Area 1
236427,790.48,887.17,Area 1
236440,790.48,887.17,Area 1
236451,790.48,887.17,Area 1
236461,790.48,887.17,Area 1
236474,790.48,887.17,Area 1
236484,790.48,887.17,Area 1
236494,790.48,887.17,Area 1
236507,790.48,887.17,Area 1
236517,790.48,887.17,Area 1
236528,790.48,887.17,Area 1
236540,, ,Model
236551,, ,Model
236562,, ,Model
236573,, ,Model
236584,, ,Model
236595,, ,Model
236608,, ,Model
236618,, ,Model
236628,, ,Model
236640,, ,Model
236651,, ,Model
236661,, ,Model
236674,, ,Model
236684,, ,Model
236695,, ,Model
236707,, ,Model
236718,, ,Model
236728,, ,Model
236740,, ,Model
236750,, ,Model
236760,, ,Model
236773,, ,Model
236784,, ,Model
236795,, ,Model
236807,, ,Model
236817,, ,Model
236827,, ,Model
236840,, ,Model
236850,, ,Model
236861,, ,Model
236874,, ,Model
236884,, ,Model
236895,, ,Model
236907,, ,Model
