Time(ms),X,Y,Area
120843,1063.08,1002.48,Area 2
120855,1063.08,1002.48,Area 2
120865,1061.74,1002.80,Area 2
120875,1061.74,1002.80,Area 2
120886,1061.74,1002.80,Area 2
120898,1059.85,997.36,Area 2
120909,1059.85,997.36,Area 2
120920,1059.85,997.36,Area 2
120932,1058.55,995.15,Area 2
120944,1058.55,995.15,Area 2
120955,1058.12,995.43,Area 2
120965,1058.12,995.43,Area 2
120976,1058.12,995.43,Area 2
120988,1054.43,990.99,Area 2
120998,1054.43,990.99,Area 2
121010,1054.43,990.99,Area 2
121021,1052.34,991.43,Area 2
121032,1052.34,991.43,Area 2
121043,1052.34,991.43,Area 2
121054,1055.10,995.13,Area 2
121065,1055.10,995.13,Area 2
121076,1054.31,994.69,Area 2
121087,1054.31,994.69,Area 2
121097,1054.31,994.69,Area 2
121107,1052.45,993.11,Area 2
121118,1052.45,993.11,Area 2
121129,1052.45,993.11,Area 2
121139,1054.40,991.40,Area 2
121150,1054.40,991.40,Area 2
121160,1054.40,991.40,Area 2
121171,1079.30,993.59,Area 2
121182,1079.30,993.59,Area 2
121194,1079.30,993.59,Area 2
121205,1152.86,996.73,Area 2
121216,1152.86,996.73,Area 2
121226,1209.13,993.98,Area 2
121238,1209.13,993.98,Area 2
121249,1209.13,993.98,Area 2
121260,1218.31,992.37,Area 2
121270,1218.31,992.37,Area 2
121281,1218.31,992.37,Area 2
121293,1219.37,991.32,Area 2
121303,1219.37,991.32,Area 2
121315,1219.37,991.32,Area 2
121325,1218.13,988.18,Area 2
121336,1218.13,988.18,Area 2
121346,1219.03,988.08,Area 2
121357,1219.03,988.08,Area 2
121368,1219.03,988.08,Area 2
121379,1217.65,984.40,Area 2
121390,1217.65,984.40,Area 2
121400,1217.65,984.40,Area 2
121411,1217.02,980.99,Area 2
121421,1217.02,980.99,Area 2
121431,1217.02,980.99,Area 2
121442,1216.19,978.09,Area 2
121453,1216.19,978.09,Area 2
121463,1216.19,978.09,Area 2
121474,1152.10,999.06,Area 2
121486,1152.10,999.06,Area 2
121499,1091.02,1024.31,Area 2
121509,1091.02,1024.31,Area 2
121521,1091.02,1024.31,Area 2
121540,1091.02,1024.31,Area 2
121554,1091.02,1024.31,Area 2
121571,1091.02,1024.31,Area 2
121588,1091.02,1024.31,Area 2
121603,1091.02,1024.31,Area 2
121615,1091.02,1024.31,Area 2
121629,1091.02,1024.31,Area 2
121641,1091.02,1024.31,Area 2
121652,1091.02,1024.31,Area 2
121663,1091.02,1024.31,Area 2
121677,1091.02,1024.31,Area 2
121693,1091.02,1024.31,Area 2
121705,1091.02,1024.31,Area 2
121716,1091.02,1024.31,Area 2
121730,1091.02,1024.31,Area 2
121743,1091.02,1024.31,Area 2
121754,1091.02,1024.31,Area 2
121769,1091.02,1024.31,Area 2
121781,1091.02,1024.31,Area 2
121792,1091.02,1024.31,Area 2
121808,1091.02,1024.31,Area 2
121821,1091.02,1024.31,Area 2
121839,1091.02,1024.31,Area 2
121853,1091.02,1024.31,Area 2
121866,1091.02,1024.31,Area 2
121878,1091.02,1024.31,Area 2
121890,1091.02,1024.31,Area 2
121904,1091.02,1024.31,Area 2
121917,1091.02,1024.31,Area 2
121928,1091.02,1024.31,Area 2
121940,1091.02,1024.31,Area 2
121951,1091.02,1024.31,Area 2
121963,1091.02,1024.31,Area 2
121974,1091.02,1024.31,Area 2
121984,1091.02,1024.31,Area 2
121997,1091.02,1024.31,Area 2
122008,, ,Model
122028,, ,Model
122044,, ,Model
122060,, ,Model
122071,, ,Model
122089,, ,Model
122101,, ,Model
122115,, ,Model
122129,, ,Model
122143,, ,Model
122158,, ,Model
122175,, ,Model
122191,, ,Model
122205,, ,Model
122219,, ,Model
122234,, ,Model
122246,, ,Model
122258,, ,Model
122274,, ,Model
122289,, ,Model
122304,, ,Model
122315,, ,Model
122325,, ,Model
122339,, ,Model
122352,, ,Model
122366,, ,Model
122379,, ,Model
