Time(ms),X,Y,Area
149559,, ,Model
149569,, ,Model
149580,, ,Model
149593,, ,Model
149604,, ,Model
149615,, ,Model
149625,, ,Model
149637,, ,Model
149647,, ,Model
149659,, ,Model
149670,, ,Model
149680,, ,Model
149693,, ,Model
149704,, ,Model
149714,, ,Model
149726,, ,Model
149737,, ,Model
149748,, ,Model
149759,, ,Model
149769,, ,Model
149780,, ,Model
149792,, ,Model
149803,, ,Model
149813,, ,Model
149826,, ,Model
149836,, ,Model
149847,, ,Model
149859,, ,Model
149869,, ,Model
149880,, ,Model
149892,, ,Model
149904,, ,Model
149915,, ,Model
149927,, ,Model
149938,, ,Model
149949,, ,Model
149960,, ,Model
149971,, ,Model
149981,, ,Model
149993,, ,Model
150003,, ,Model
150013,, ,Model
150026,, ,Model
150036,, ,Model
150046,, ,Model
150059,, ,Model
150070,, ,Model
150081,, ,Model
150091,, ,Model
150102,, ,Model
150112,, ,Model
150127,, ,Model
150142,, ,Model
150152,, ,Model
150162,, ,Model
150176,, ,Model
150187,, ,Model
150198,, ,Model
150208,, ,Model
150218,, ,Model
150229,, ,Model
150242,, ,Model
150253,, ,Model
150263,, ,Model
150275,, ,Model
150286,, ,Model
150298,, ,Model
150309,, ,Model
150320,, ,Model
150331,, ,Model
150343,, ,Model
150353,, ,Model
150363,, ,Model
150376,, ,Model
150387,, ,Model
150397,794.14,667.92,Area 1
150409,794.14,667.92,Area 1
150420,794.14,667.92,Area 1
150430,797.95,614.37,Area 1
150442,797.95,614.37,Area 1
150452,797.95,614.37,Area 1
150463,789.60,616.22,Area 1
150476,789.60,616.22,Area 1
150487,772.58,619.40,Area 1
150497,772.58,619.40,Area 1
150508,772.58,619.40,Area 1
150520,748.35,623.20,Area 1
150531,748.35,623.20,Area 1
150543,748.35,623.20,Area 1
150553,737.17,631.48,Area 1
150564,737.17,631.48,Area 1
150576,737.17,631.48,Area 1
150586,723.22,637.44,Area 1
150597,723.22,637.44,Area 1
150610,718.82,644.72,Area 1
150620,718.82,644.72,Area 1
150631,718.82,644.72,Area 1
150642,723.03,659.91,Area 1
150652,723.03,659.91,Area 1
150663,723.03,659.91,Area 1
150676,720.53,674.82,Area 1
150687,720.53,674.82,Area 1
150697,720.53,674.82,Area 1
150710,721.68,678.16,Area 1
150726,721.68,678.16,Area 1
150736,721.12,680.55,Area 1
150747,721.12,680.55,Area 1
150759,721.12,680.55,Area 1
150770,720.20,683.51,Area 1
150780,720.20,683.51,Area 1
150793,720.03,685.04,Area 1
150804,720.03,685.04,Area 1
150815,720.03,685.04,Area 1
150826,717.64,686.69,Area 1
150836,717.64,686.69,Area 1
150847,717.64,686.69,Area 1
150859,719.16,686.92,Area 1
150870,719.16,686.92,Area 1
150880,719.16,686.92,Area 1
150893,721.78,686.43,Area 1
150909,721.78,686.43,Area 1
150920,723.06,684.46,Area 1
150931,723.06,684.46,Area 1
150942,721.77,683.16,Area 1
150953,721.77,683.16,Area 1
150963,721.77,683.16,Area 1
150976,720.37,683.90,Area 1
150987,720.37,683.90,Area 1
150997,720.37,683.90,Area 1
151010,722.09,682.53,Area 1
151025,722.09,682.53,Area 1
151036,724.06,680.84,Area 1
151046,724.06,680.84,Area 1
151060,724.06,680.84,Area 1
151070,724.55,681.41,Area 1
151081,724.55,681.41,Area 1
151092,724.55,681.41,Area 1
151102,721.23,679.22,Area 1
151113,721.23,679.22,Area 1
151128,722.24,674.95,Area 1
151142,722.24,674.95,Area 1
151153,722.24,674.95,Area 1
151164,725.88,676.25,Area 1
151175,725.88,676.25,Area 1
151186,722.57,677.78,Area 1
151197,722.57,677.78,Area 1
151209,722.57,677.78,Area 1
151220,723.04,674.41,Area 1
151230,723.04,674.41,Area 1
151243,724.73,671.00,Area 1
151254,724.73,671.00,Area 1
151265,724.73,671.00,Area 1
151276,724.37,670.95,Area 1
151286,724.37,670.95,Area 1
151297,724.37,670.95,Area 1
151309,725.30,672.07,Area 1
151319,725.30,672.07,Area 1
151330,725.30,672.07,Area 1
151343,723.43,670.18,Area 1
151353,723.43,670.18,Area 1
151365,724.02,669.29,Area 1
151375,724.02,669.29,Area 1
151386,724.02,669.29,Area 1
151396,723.14,670.68,Area 1
151409,723.14,670.68,Area 1
151420,723.14,670.68,Area 1
151431,722.68,674.31,Area 1
151442,722.68,674.31,Area 1
151453,722.68,674.31,Area 1
151463,726.03,676.70,Area 1
151476,726.03,676.70,Area 1
151487,728.58,672.55,Area 1
151497,728.58,672.55,Area 1
151509,728.58,672.55,Area 1
151520,731.59,670.46,Area 1
151530,731.59,670.46,Area 1
151542,731.59,670.46,Area 1
151553,733.02,669.73,Area 1
151563,733.02,669.73,Area 1
151575,733.02,669.73,Area 1
151586,730.75,672.31,Area 1
151596,730.75,672.31,Area 1
151609,728.78,676.57,Area 1
151620,728.78,676.57,Area 1
151631,728.78,676.57,Area 1
151643,732.10,672.96,Area 1
151653,732.10,672.96,Area 1
151665,732.10,672.96,Area 1
151675,734.74,674.38,Area 1
151686,734.74,674.38,Area 1
151697,732.24,677.07,Area 1
151709,732.24,677.07,Area 1
151719,732.24,677.07,Area 1
151730,733.44,676.26,Area 1
151742,733.44,676.26,Area 1
151753,733.44,676.26,Area 1
151763,734.00,679.15,Area 1
151776,734.00,679.15,Area 1
151787,731.19,680.97,Area 1
151799,731.19,680.97,Area 1
151810,731.19,680.97,Area 1
151825,729.60,682.78,Area 1
151835,729.60,682.78,Area 1
151846,729.60,682.78,Area 1
151859,730.19,685.67,Area 1
151869,730.19,685.67,Area 1
151880,817.45,691.15,Area 1
151892,817.45,691.15,Area 1
151902,817.45,691.15,Area 1
151914,1043.40,745.63,Area 2
151926,1043.40,745.63,Area 2
151937,1043.40,745.63,Area 2
151947,1177.88,796.44,Area 2
151959,1177.88,796.44,Area 2
151969,1177.88,796.44,Area 2
151980,1172.73,792.15,Area 2
151993,1172.73,792.15,Area 2
152004,1179.17,783.75,Area 2
152015,1179.17,783.75,Area 2
152026,1179.17,783.75,Area 2
152036,1193.31,791.52,Area 2
152046,1193.31,791.52,Area 2
152059,1193.31,791.52,Area 2
152070,1200.61,801.67,Area 2
152080,1200.61,801.67,Area 2
152092,1206.08,804.53,Area 2
152103,1206.08,804.53,Area 2
152114,1206.08,804.53,Area 2
152128,1214.75,810.46,Area 2
152142,1214.75,810.46,Area 2
152153,1215.43,804.40,Area 2
152163,1215.43,804.40,Area 2
152176,1215.43,804.40,Area 2
152186,1204.17,804.56,Area 2
152198,1204.17,804.56,Area 2
152209,1204.17,804.56,Area 2
152220,1193.36,799.35,Area 2
152231,1193.36,799.35,Area 2
152243,1195.47,797.54,Area 2
152253,1195.47,797.54,Area 2
152265,1195.47,797.54,Area 2
152277,1200.11,793.46,Area 2
152291,1200.11,793.46,Area 2
152302,1199.27,791.62,Area 2
152312,1199.27,791.62,Area 2
152326,1199.27,791.62,Area 2
152343,1197.96,794.13,Area 2
152354,1197.96,794.13,Area 2
152365,1197.14,792.09,Area 2
152376,1197.14,792.09,Area 2
152386,1197.14,792.09,Area 2
152396,1198.21,792.25,Area 2
152409,1198.21,792.25,Area 2
152420,1198.21,792.25,Area 2
152430,1201.48,792.23,Area 2
152443,1201.48,792.23,Area 2
152453,1201.48,792.23,Area 2
152463,1206.18,790.85,Area 2
152476,1206.18,790.85,Area 2
152486,1211.41,788.52,Area 2
152497,1211.41,788.52,Area 2
152509,1211.41,788.52,Area 2
152520,1210.88,790.67,Area 2
152531,1210.88,790.67,Area 2
152542,1210.88,790.67,Area 2
152552,1207.79,793.14,Area 2
152562,1207.79,793.14,Area 2
152575,1205.69,795.23,Area 2
152586,1205.69,795.23,Area 2
152596,1205.69,795.23,Area 2
152610,1203.16,793.50,Area 2
152621,1203.16,793.50,Area 2
152631,1203.16,793.50,Area 2
152642,1205.90,791.65,Area 2
152653,1205.90,791.65,Area 2
152664,1206.21,792.35,Area 2
152676,1206.21,792.35,Area 2
152687,1206.21,792.35,Area 2
152698,1205.17,787.96,Area 2
152710,1205.17,787.96,Area 2
152720,1205.17,787.96,Area 2
152730,1205.57,783.92,Area 2
152743,1205.57,783.92,Area 2
152753,1205.57,783.92,Area 2
152764,1204.85,787.41,Area 2
152776,1204.85,787.41,Area 2
152786,1204.85,787.41,Area 2
152796,1203.24,788.67,Area 2
152809,1203.24,788.67,Area 2
152820,1203.46,787.26,Area 2
152830,1203.46,787.26,Area 2
152842,1203.46,787.26,Area 2
152853,1203.72,788.21,Area 2
152864,1203.72,788.21,Area 2
152876,1202.94,784.41,Area 2
152887,1202.94,784.41,Area 2
152897,1202.94,784.41,Area 2
152909,1200.30,785.68,Area 2
152920,1200.30,785.68,Area 2
152931,1200.30,785.68,Area 2
152942,1199.17,789.26,Area 2
152952,1199.17,789.26,Area 2
152963,1199.17,789.26,Area 2
152976,1199.83,790.76,Area 2
152987,1199.83,790.76,Area 2
152997,1198.84,792.22,Area 2
153009,1198.84,792.22,Area 2
153020,1198.84,792.22,Area 2
153031,1200.40,790.52,Area 2
153043,1200.40,790.52,Area 2
153053,1200.40,790.52,Area 2
153063,1200.88,790.59,Area 2
153075,1200.88,790.59,Area 2
153086,1201.13,792.03,Area 2
153097,1201.13,792.03,Area 2
153108,1201.13,792.03,Area 2
153119,1202.20,793.15,Area 2
153131,1202.20,793.15,Area 2
153143,1202.20,793.15,Area 2
153153,1203.76,790.84,Area 2
153164,1203.76,790.84,Area 2
153176,1203.76,790.84,Area 2
153187,1208.61,792.59,Area 2
153198,1208.61,792.59,Area 2
153209,1206.40,792.60,Area 2
153219,1206.40,792.60,Area 2
153230,1206.40,792.60,Area 2
153244,1200.63,782.15,Area 2
153259,1200.63,782.15,Area 2
153270,1203.81,781.96,Area 2
153281,1203.81,781.96,Area 2
153292,1203.81,781.96,Area 2
153302,1207.48,791.20,Area 2
153313,1207.48,791.20,Area 2
153325,1207.48,791.20,Area 2
153336,1207.56,793.18,Area 2
153346,1207.56,793.18,Area 2
153359,1208.64,792.18,Area 2
153370,1208.64,792.18,Area 2
153381,1208.64,792.18,Area 2
153393,1210.02,791.53,Area 2
153404,1210.02,791.53,Area 2
153414,1210.02,791.53,Area 2
153426,1210.88,790.38,Area 2
153442,1210.88,790.38,Area 2
153453,1211.40,790.47,Area 2
153464,1211.40,790.47,Area 2
153476,1211.40,790.47,Area 2
153486,1211.26,789.01,Area 2
153497,1211.26,789.01,Area 2
153508,1211.26,789.01,Area 2
153519,1212.67,792.75,Area 2
153530,1212.67,792.75,Area 2
153543,1211.60,797.81,Area 2
153553,1211.60,797.81,Area 2
153563,1211.60,797.81,Area 2
153576,1206.75,794.36,Area 2
153587,1206.75,794.36,Area 2
153598,1206.75,794.36,Area 2
153609,1205.48,793.11,Area 2
153620,1205.48,793.11,Area 2
153630,1205.48,793.11,Area 2
153642,1205.65,794.34,Area 2
153653,1205.65,794.34,Area 2
153664,1205.31,789.58,Area 2
153675,1205.31,789.58,Area 2
153686,1205.31,789.58,Area 2
153696,1205.64,793.09,Area 2
153709,1205.64,793.09,Area 2
153719,1205.64,793.09,Area 2
153729,1203.97,800.22,Area 2
153741,1203.97,800.22,Area 2
153751,1203.58,795.48,Area 2
153762,1203.58,795.48,Area 2
153776,1203.58,795.48,Area 2
153786,1202.51,796.31,Area 2
153797,1202.51,796.31,Area 2
153809,1202.51,796.31,Area 2
153820,1098.37,736.78,Area 2
153831,1098.37,736.78,Area 2
153843,996.15,672.51,Area 2
153853,996.15,672.51,Area 2
153863,996.15,672.51,Area 2
153876,996.15,672.51,Area 2
153887,996.15,672.51,Area 2
153898,996.15,672.51,Area 2
153909,996.15,672.51,Area 2
153920,996.15,672.51,Area 2
153930,674.66,387.15,Area 3
153942,674.66,387.15,Area 3
153953,674.66,387.15,Area 3
153965,684.31,425.31,Area 3
153976,684.31,425.31,Area 3
153987,684.31,425.31,Area 3
153997,687.07,425.46,Area 3
154009,687.07,425.46,Area 3
154019,687.07,425.46,Area 3
154030,688.39,404.44,Area 3
154041,688.39,404.44,Area 3
154053,685.29,417.90,Area 3
154063,685.29,417.90,Area 3
154075,685.29,417.90,Area 3
154086,678.71,421.68,Area 3
154096,678.71,421.68,Area 3
154109,678.71,421.68,Area 3
154119,689.15,418.03,Area 3
154130,689.15,418.03,Area 3
154145,691.60,426.55,Area 3
154159,691.60,426.55,Area 3
154170,691.60,426.55,Area 3
154181,680.74,415.28,Area 3
154192,680.74,415.28,Area 3
154202,680.74,415.28,Area 3
154213,680.34,406.87,Area 3
154225,680.34,406.87,Area 3
154237,678.82,418.70,Area 3
154248,678.82,418.70,Area 3
154258,678.82,418.70,Area 3
154269,676.02,426.69,Area 3
154281,676.02,426.69,Area 3
154292,676.02,426.69,Area 3
154302,693.91,412.96,Area 3
154313,693.91,412.96,Area 3
154326,709.22,401.11,Area 3
154337,709.22,401.11,Area 3
154347,709.22,401.11,Area 3
154359,703.91,403.59,Area 3
154370,703.91,403.59,Area 3
154380,703.91,403.59,Area 3
154394,703.17,401.29,Area 3
154408,703.17,401.29,Area 3
154419,702.96,398.07,Area 3
154429,702.96,398.07,Area 3
154443,702.96,398.07,Area 3
