Time(ms),X,Y,Area
273195,867.05,706.27,Area 1
273207,867.05,706.27,Area 1
273217,867.05,706.27,Area 1
273228,867.05,706.27,Area 1
273241,867.05,706.27,Area 1
273251,867.05,706.27,Area 1
273262,867.05,706.27,Area 1
273273,867.05,706.27,Area 1
273284,867.05,706.27,Area 1
273294,867.05,706.27,Area 1
273306,, ,Model
273317,, ,Model
273328,, ,Model
273340,, ,Model
273351,, ,Model
273361,, ,Model
273373,, ,Model
273383,, ,Model
273395,, ,Model
273407,, ,Model
273417,, ,Model
273427,, ,Model
273440,, ,Model
273451,, ,Model
273462,, ,Model
273474,, ,Model
273484,, ,Model
273495,, ,Model
273507,, ,Model
273517,, ,Model
273528,, ,Model
273540,, ,Model
273551,, ,Model
273562,, ,Model
273574,, ,Model
273590,, ,Model
273601,, ,Model
273611,, ,Model
273623,, ,Model
273634,, ,Model
273645,, ,Model
273657,, ,Model
273668,, ,Model
273679,, ,Model
273690,, ,Model
273701,, ,Model
273711,, ,Model
273723,, ,Model
273735,, ,Model
273745,, ,Model
273756,, ,Model
273767,, ,Model
273777,, ,Model
273790,, ,Model
273801,, ,Model
273811,, ,Model
273823,, ,Model
273834,, ,Model
273845,, ,Model
273856,, ,Model
273867,726.7,777.51,Area 1
273877,726.7,777.51,Area 1
273891,726.7,777.51,Area 1
273901,726.7,777.51,Area 1
273912,726.7,777.51,Area 1
273923,691.99,714.11,Area 1
273934,691.99,714.11,Area 1
273944,691.99,714.11,Area 1
273957,725.86,677.7,Area 1
273968,725.86,677.7,Area 1
273979,725.86,677.7,Area 1
273990,724.06,677.14,Area 1
274000,724.06,677.14,Area 1
274010,724.06,677.14,Area 1
274023,712.73,684.8,Area 1
274034,712.73,684.8,Area 1
274044,699.53,699.26,Area 1
274057,699.53,699.26,Area 1
274067,699.53,699.26,Area 1
274078,696.39,699.34,Area 1
274093,696.39,699.34,Area 1
274107,695.87,701,Area 1
274117,695.87,701,Area 1
274128,695.87,701,Area 1
274140,695.65,707.18,Area 1
274150,695.65,707.18,Area 1
274161,695.65,707.18,Area 1
274173,695,711,Area 1
274184,695,711,Area 1
274194,698.1,710.07,Area 1
274207,698.1,710.07,Area 1
274218,698.1,710.07,Area 1
274228,700.55,710.33,Area 1
274241,700.55,710.33,Area 1
274257,701.22,715.4,Area 1
274268,701.22,715.4,Area 1
274279,701.22,715.4,Area 1
274290,702.59,714.37,Area 1
274300,702.59,714.37,Area 1
274311,702.59,714.37,Area 1
274324,701.78,709.23,Area 1
274339,701.78,709.23,Area 1
274350,715,742.72,Area 1
274360,715,742.72,Area 1
274375,715,742.72,Area 1
274390,727.54,774.52,Area 1
274400,727.54,774.52,Area 1
274411,722.56,773.59,Area 1
274424,722.56,773.59,Area 1
274435,723.43,776.57,Area 1
274446,723.43,776.57,Area 1
274456,723.43,776.57,Area 1
274466,720.71,775.99,Area 1
274476,720.71,775.99,Area 1
274490,720.71,775.99,Area 1
274500,715.99,775.91,Area 1
274511,715.99,775.91,Area 1
274523,715.99,775.91,Area 1
274534,715.58,778.34,Area 1
274544,715.58,778.34,Area 1
274557,711.78,785.86,Area 1
274567,711.78,785.86,Area 1
274578,711.78,785.86,Area 1
274590,712.96,791.01,Area 1
274600,712.96,791.01,Area 1
274611,712.96,791.01,Area 1
274625,717.11,795.18,Area 1
274640,717.11,795.18,Area 1
274650,720.61,799.15,Area 1
274661,720.61,799.15,Area 1
274673,720.61,799.15,Area 1
274684,722.73,802.67,Area 1
274694,722.73,802.67,Area 1
274707,722.75,808.55,Area 1
274717,722.75,808.55,Area 1
274728,722.75,808.55,Area 1
274740,718.61,816.74,Area 1
274750,718.61,816.74,Area 1
274761,718.61,816.74,Area 1
274773,713.54,830.06,Area 1
274783,713.54,830.06,Area 1
274794,713.54,830.06,Area 1
274806,715.89,833.05,Area 1
274816,715.89,833.05,Area 1
274827,704.67,827.24,Area 1
274840,704.67,827.24,Area 1
274850,704.67,827.24,Area 1
274862,687.17,824.27,Area 1
274874,687.17,824.27,Area 1
274890,687.17,824.27,Area 1
274900,684.49,815.7,Area 1
274912,684.49,815.7,Area 1
274923,683.91,815.48,Area 1
274934,683.91,815.48,Area 1
274945,683.91,815.48,Area 1
274956,682.85,816.74,Area 1
274967,682.85,816.74,Area 1
274978,682.85,816.74,Area 1
274989,681.53,808.21,Area 1
275000,681.53,808.21,Area 1
275011,677.43,803.62,Area 1
275023,677.43,803.62,Area 1
275033,677.43,803.62,Area 1
275044,675.32,802.41,Area 1
275058,675.32,802.41,Area 1
275073,678.42,795.44,Area 1
275083,678.42,795.44,Area 1
275094,678.42,795.44,Area 1
275107,678.06,795.4,Area 1
275117,678.06,795.4,Area 1
275127,678.06,795.4,Area 1
275139,673.44,807.3,Area 1
275150,673.44,807.3,Area 1
275161,671.7,810.75,Area 1
275173,671.7,810.75,Area 1
275184,671.7,810.75,Area 1
275195,674.99,805.53,Area 1
275207,674.99,805.53,Area 1
275217,674.99,805.53,Area 1
275228,677.86,801.48,Area 1
275241,677.86,801.48,Area 1
275252,674.99,798.32,Area 1
275263,674.99,798.32,Area 1
275273,674.99,798.32,Area 1
275284,675.39,789.16,Area 1
275295,675.39,789.16,Area 1
275307,675.39,789.16,Area 1
275318,678.71,789.18,Area 1
275329,678.71,789.18,Area 1
275341,678.71,789.18,Area 1
275351,678.12,793.45,Area 1
275362,678.12,793.45,Area 1
275373,674.53,795.1,Area 1
275383,674.53,795.1,Area 1
275394,674.53,795.1,Area 1
275406,678.1,792.5,Area 1
275417,678.1,792.5,Area 1
275428,678.1,792.5,Area 1
275439,685.74,784.49,Area 1
275449,685.74,784.49,Area 1
275460,685.74,784.49,Area 1
275472,685.22,792.59,Area 1
275482,685.22,792.59,Area 1
275493,685.01,797.97,Area 1
275506,685.01,797.97,Area 1
275517,685.01,797.97,Area 1
275528,688.09,795.4,Area 1
275543,688.09,795.4,Area 1
275555,689.31,794.37,Area 1
275567,689.31,794.37,Area 1
275577,689.31,794.37,Area 1
275590,692.14,788.86,Area 1
275600,692.14,788.86,Area 1
275610,692.14,788.86,Area 1
275623,694.21,786.44,Area 1
275634,694.21,786.44,Area 1
275644,696.66,780.57,Area 1
275657,696.66,780.57,Area 1
275674,696.66,780.57,Area 1
275685,702.32,770.78,Area 1
275695,702.32,770.78,Area 1
275706,702.32,770.78,Area 1
275717,701.59,772.64,Area 1
275729,701.59,772.64,Area 1
275741,696.76,770.1,Area 1
275756,696.76,770.1,Area 1
275767,690.97,761.97,Area 1
275777,690.97,761.97,Area 1
275789,690.97,761.97,Area 1
275799,691.3,758.35,Area 1
275809,691.3,758.35,Area 1
275823,691.3,758.35,Area 1
275834,693.09,752.58,Area 1
275844,693.09,752.58,Area 1
275857,688.83,748.43,Area 1
275867,688.83,748.43,Area 1
275878,688.83,748.43,Area 1
275889,684.4,745.67,Area 1
275901,684.4,745.67,Area 1
275911,684.4,745.67,Area 1
275923,680.62,738.23,Area 1
275933,680.62,738.23,Area 1
275944,680.62,738.23,Area 1
275955,673.02,730.41,Area 1
275966,673.02,730.41,Area 1
275977,694.31,739.13,Area 1
275990,694.31,739.13,Area 1
276000,694.31,739.13,Area 1
276011,720.66,751.72,Area 1
276023,720.66,751.72,Area 1
276033,720.66,751.72,Area 1
276044,709.26,757.56,Area 1
276057,709.26,757.56,Area 1
276067,704.01,763.96,Area 1
276077,704.01,763.96,Area 1
276090,704.01,763.96,Area 1
276100,710.69,769.98,Area 1
276110,710.69,769.98,Area 1
276123,710.69,769.98,Area 1
276133,707.87,767.53,Area 1
276143,707.87,767.53,Area 1
276156,707.87,767.53,Area 1
276167,703.27,762.98,Area 1
276178,703.27,762.98,Area 1
276191,699.74,759.66,Area 1
276202,699.74,759.66,Area 1
276212,699.74,759.66,Area 1
276224,698.23,757.16,Area 1
276240,698.23,757.16,Area 1
276251,695.93,757.44,Area 1
276262,695.93,757.44,Area 1
276274,695.93,757.44,Area 1
276290,690.63,755.68,Area 1
276301,690.63,755.68,Area 1
276311,689.31,756.54,Area 1
276324,689.31,756.54,Area 1
276335,689.31,756.54,Area 1
276348,692.74,752.26,Area 1
276360,692.74,752.26,Area 1
276374,689.23,754.71,Area 1
276390,689.23,754.71,Area 1
276402,684.89,760.9,Area 1
276412,684.89,760.9,Area 1
276423,684.89,760.9,Area 1
276433,681.72,762.15,Area 1
276443,681.72,762.15,Area 1
276457,681.72,762.15,Area 1
276467,670.19,764.42,Area 1
276478,670.19,764.42,Area 1
276490,648.86,780.15,Area 1
276500,648.86,780.15,Area 1
276511,648.86,780.15,Area 1
276524,622.07,805.34,Area 1
276535,622.07,805.34,Area 1
276545,622.07,805.34,Area 1
276557,610.72,815.77,Area 1
276568,610.72,815.77,Area 1
276579,610.72,815.77,Area 1
276590,612.92,825.28,Area 1
276600,612.92,825.28,Area 1
276610,612.92,825.28,Area 1
276623,616.67,829.23,Area 1
276634,616.67,829.23,Area 1
276645,622.6,819.64,Area 1
276658,622.6,819.64,Area 1
276674,626.64,820.25,Area 1
276689,626.64,820.25,Area 1
276700,626.64,820.25,Area 1
276711,629.13,819.62,Area 1
276723,629.13,819.62,Area 1
276734,635.73,812.25,Area 1
276745,635.73,812.25,Area 1
276757,635.73,812.25,Area 1
276767,635.87,808.29,Area 1
276777,635.87,808.29,Area 1
276790,635.87,808.29,Area 1
276802,634.84,802.19,Area 1
276813,634.84,802.19,Area 1
276824,647.51,804.5,Area 1
276840,647.51,804.5,Area 1
276851,647.51,804.5,Area 1
276862,692.77,792.69,Area 1
276873,692.77,792.69,Area 1
276883,909.9,769.76,Area 1
276893,909.9,769.76,Area 1
276907,909.9,769.76,Area 1
276923,1097.79,757.37,Area 2
276933,1097.79,757.37,Area 2
276944,1095.91,746.23,Area 2
276957,1095.91,746.23,Area 2
276967,1095.91,746.23,Area 2
276977,1095.22,754.05,Area 2
276990,1095.22,754.05,Area 2
277001,1095.22,754.05,Area 2
277012,1099.37,770.34,Area 2
277024,1099.37,770.34,Area 2
277034,1101.23,769.04,Area 2
277046,1101.23,769.04,Area 2
277057,1101.23,769.04,Area 2
277067,1103.61,769.45,Area 2
277078,1103.61,769.45,Area 2
277090,1103.61,769.45,Area 2
277100,1099.33,771.23,Area 2
277112,1099.33,771.23,Area 2
277124,1097.47,768.87,Area 2
277135,1097.47,768.87,Area 2
277145,1097.47,768.87,Area 2
277159,1096.32,771.53,Area 2
277175,1096.32,771.53,Area 2
277193,1097.05,770.23,Area 2
277207,1097.05,770.23,Area 2
277218,1107.45,764.83,Area 2
277229,1107.45,764.83,Area 2
277239,1107.45,764.83,Area 2
277250,1093.22,756.38,Area 2
277261,1093.22,756.38,Area 2
277273,1070.41,750.13,Area 2
277284,1070.41,750.13,Area 2
277295,1070.41,750.13,Area 2
277307,1070.41,750.13,Area 2
277322,1070.41,750.13,Area 2
277334,1070.41,750.13,Area 2
277345,1070.41,750.13,Area 2
277357,1070.41,750.13,Area 2
277367,1070.41,750.13,Area 2
277377,1070.41,750.13,Area 2
277390,1070.41,750.13,Area 2
277400,1208.68,910.36,Area 2
277411,1208.68,910.36,Area 2
277424,1215.54,876.33,Area 2
277439,1215.54,876.33,Area 2
277450,1215.54,876.33,Area 2
277460,1201.17,787.93,Area 2
277473,1201.17,787.93,Area 2
277483,1201.17,787.93,Area 2
277494,1199.06,791.71,Area 2
277506,1199.06,791.71,Area 2
277517,1188.69,775.84,Area 2
277528,1188.69,775.84,Area 2
277540,1188.69,775.84,Area 2
277550,1188.73,753.87,Area 2
277561,1188.73,753.87,Area 2
277572,1219.1,782.34,Area 2
277583,1219.1,782.34,Area 2
277594,1219.1,782.34,Area 2
277606,1219.1,782.34,Area 2
277618,1219.1,782.34,Area 2
277628,1219.1,782.34,Area 2
277642,1219.1,782.34,Area 2
277659,1219.1,782.34,Area 2
